timestamp,bvp,eda,temp,PPG GREEN
1636977839.0,81.18,3.804822,34.25,1889653.0
1636977839.015625,81.78,3.907292,34.21,1891322.0
1636977839.03125,84.45,3.954684,34.21,1893158.0
1636977839.046875,89.16,3.986706,34.21,1894614.0
1636977839.0625,95.33,4.071243,34.21,1896242.0
1636977839.078125,101.87,4.09686,34.23,1894070.0
1636977839.09375,107.28,4.091737,34.23,1890271.0
1636977839.109375,109.86,4.078928,34.23,1886568.0
1636977839.125,108.04,4.099422,34.23,1883502.0
1636977839.140625,100.78,4.087894,34.25,1881460.0
1636977839.15625,87.96,4.093018,34.25,1880220.0
1636977839.171875,70.58,4.084052,34.25,1880058.0
1636977839.1875,50.6,4.060996,34.25,1880024.0
1636977839.203125,30.56,4.0674,34.25,1879961.0
1636977839.21875,12.93,4.0674,34.25,1880386.0
1636977839.234375,-0.49,4.069963,34.25,1880863.0
1636977839.25,-8.8,4.063558,34.25,1881950.0
1636977839.265625,-12.12,4.057154,34.25,1883288.0
1636977839.28125,-11.25,4.046906,34.25,1884605.0
1636977839.296875,-7.36,4.050749,34.25,1886684.0
1636977839.3125,-1.57,4.049469,34.25,1888262.0
1636977839.328125,5.13,4.043064,34.25,1890127.0
1636977839.34375,11.98,4.030255,34.25,1892024.0
1636977839.359375,18.42,4.020009,34.25,1893690.0
1636977839.375,23.98,4.005919,34.25,1895131.0
1636977839.390625,28.22,3.998234,34.25,1892970.0
1636977839.40625,30.87,3.995672,34.25,1889394.0
1636977839.421875,31.8,3.99311,34.25,1885933.0
1636977839.4375,31.07,3.984144,34.25,1883080.0
1636977839.453125,28.94,3.989268,34.25,1881449.0
1636977839.46875,25.75,3.987987,34.25,1880830.0
1636977839.484375,21.91,3.984144,34.25,1880802.0
1636977839.5,17.76,3.982863,34.25,1880992.0
1636977839.515625,13.61,3.975178,34.23,1881300.0
1636977839.53125,9.71,3.96365,34.23,1881742.0
1636977839.546875,6.26,3.968774,34.23,1882490.0
1636977839.5625,3.35,3.938033,34.23,1883556.0
1636977839.578125,1.05,3.930348,34.25,1884945.0
1636977839.59375,-0.73,3.940595,34.25,1886448.0
1636977839.609375,-2.16,3.936752,34.25,1888383.0
1636977839.625,-3.49,3.938033,34.25,1889856.0
1636977839.640625,-5.0,3.952122,34.25,1891501.0
1636977839.65625,-6.91,3.955965,34.25,1893336.0
1636977839.671875,-9.43,3.955965,34.25,1895479.0
1636977839.6875,-12.63,3.968774,34.25,1897398.0
1636977839.703125,-16.46,3.961088,34.23,1899601.0
1636977839.71875,-20.68,3.931628,34.23,1899105.0
1636977839.734375,-24.87,3.906011,34.23,1895382.0
1636977839.75,-28.49,3.881675,34.23,1892034.0
1636977839.765625,-30.95,3.862462,34.23,1889048.0
1636977839.78125,-31.85,3.847091,34.23,1887463.0
1636977839.796875,-31.09,3.847091,34.23,1886557.0
1636977839.8125,-29.01,3.850934,34.23,1887095.0
1636977839.828125,-26.2,3.8599,34.23,1887183.0
1636977839.84375,-23.37,3.868866,34.23,1887186.0
1636977839.859375,-21.01,3.877832,34.23,1887374.0
1636977839.875,-19.25,3.876551,34.23,1888071.0
1636977839.890625,-17.91,3.876551,34.25,1889052.0
1636977839.90625,-16.66,3.872709,34.25,1890212.0
1636977839.921875,-15.25,3.880394,34.25,1891497.0
1636977839.9375,-13.63,3.885517,34.25,1893295.0
1636977839.953125,-11.97,3.88936,34.25,1895198.0
1636977839.96875,-10.54,3.902169,34.25,1896874.0
1636977839.984375,-9.47,3.900888,34.25,1898679.0
1636977840.0,-8.7,3.899607,34.25,1900588.0
1636977840.015625,-7.97,3.895764,34.23,1902839.0
1636977840.03125,-6.88,3.891922,34.23,1904870.0
1636977840.046875,-5.12,3.882956,34.23,1906089.0
1636977840.0625,-2.53,3.865023,34.23,1903636.0
1636977840.078125,0.9,3.835563,34.21,1900305.0
1636977840.09375,5.09,3.853496,34.21,1897924.0
1636977840.109375,10.02,3.857338,34.21,1897006.0
1636977840.125,15.77,3.826597,34.21,1896393.0
1636977840.140625,22.42,3.850934,34.21,1895506.0
1636977840.15625,29.96,3.844529,34.21,1896169.0
1636977840.171875,38.08,3.817631,34.21,1897158.0
1636977840.1875,46.18,3.825316,34.21,1899204.0
1636977840.203125,53.49,3.818912,34.16,1903032.0
1636977840.21875,59.29,3.803542,34.16,1904904.0
1636977840.234375,63.25,3.812508,34.16,1901084.0
1636977840.25,65.38,3.811227,34.16,1897800.0
1636977840.265625,65.97,3.798418,34.15,1909595.0
1636977840.28125,65.15,3.808665,34.15,1913944.0
1636977840.296875,62.54,3.813789,34.15,1906950.0
1636977840.3125,57.1,3.812508,34.15,1916357.0
1636977840.328125,47.15,3.818912,34.15,1911901.0
1636977840.34375,30.83,3.818912,34.15,1919056.0
1636977840.359375,6.57,3.815069,34.15,1922776.0
1636977840.375,-26.14,3.827878,34.15,1924947.0
1636977840.390625,-66.32,3.835563,34.15,1924401.0
1636977840.40625,-111.29,3.841968,34.15,1923674.0
1636977840.421875,-157.01,3.8599,34.15,1923811.0
1636977840.4375,-198.92,3.861181,34.15,1921475.0
1636977840.453125,-233.17,3.861181,34.15,1908715.0
1636977840.46875,-257.55,3.861181,34.15,1889377.0
1636977840.484375,-271.96,3.854776,34.15,1874910.0
1636977840.5,-278.05,3.858619,34.15,1866385.0
1636977840.515625,-278.31,3.84581,34.13,1864654.0
1636977840.53125,-275.01,3.84581,34.13,1866098.0
1636977840.546875,-269.66,3.843249,34.13,1870960.0
1636977840.5625,-262.91,3.834282,34.13,1876854.0
1636977840.578125,-255.0,3.831721,34.15,1884947.0
1636977840.59375,-246.21,3.826597,34.15,1893295.0
1636977840.609375,-237.06,3.818912,34.15,1901140.0
1636977840.625,-228.09,3.812508,34.15,1907931.0
1636977840.640625,-219.59,3.811227,34.13,1913633.0
1636977840.65625,-211.34,3.807384,34.13,1918901.0
1636977840.671875,-202.83,3.808665,34.13,1923962.0
1636977840.6875,-193.5,3.81635,34.13,1929242.0
1636977840.703125,-183.22,3.813789,34.13,1933888.0
1636977840.71875,-172.42,3.813789,34.13,1938264.0
1636977840.734375,-162.02,3.81635,34.13,1939927.0
1636977840.75,-153.18,3.813789,34.13,1939724.0
1636977840.765625,-146.89,3.813789,34.11,1939747.0
1636977840.78125,-143.68,3.809946,34.11,1940191.0
1636977840.796875,-143.51,3.804822,34.11,1940854.0
1636977840.8125,-145.7,3.806103,34.11,1941836.0
1636977840.828125,-148.97,3.808665,34.11,1943175.0
1636977840.84375,-151.65,3.804822,34.11,1945203.0
1636977840.859375,-151.99,3.807384,34.11,1946879.0
1636977840.875,-148.41,3.803542,34.11,1948376.0
1636977840.890625,-139.96,3.793295,34.13,1949931.0
1636977840.90625,-126.44,3.78689,34.13,1952014.0
1636977840.921875,-108.51,3.779205,34.13,1954127.0
1636977840.9375,-87.43,3.781767,34.13,1956379.0
1636977840.953125,-64.77,3.776644,34.13,1958611.0
1636977840.96875,-42.03,3.777924,34.13,1961084.0
1636977840.984375,-20.33,3.78689,34.13,1963055.0
1636977841.0,-0.46,3.789452,34.13,1963055.0
1636977841.015625,17.17,3.789452,34.09,1965637.0
1636977841.03125,32.29,3.788171,34.09,1967991.0
1636977841.046875,44.66,3.783048,34.09,1970483.0
1636977841.0625,54.1,3.776644,34.09,1972392.0
1636977841.078125,60.58,3.772801,34.09,1975270.0
1636977841.09375,64.34,3.767677,34.09,1976672.0
1636977841.109375,65.98,3.767677,34.09,1975197.0
1636977841.125,66.3,3.765115,34.09,1973118.0
1636977841.140625,66.14,3.777924,34.09,1971440.0
1636977841.15625,66.13,3.785609,34.09,1970175.0
1636977841.171875,66.54,3.78689,34.09,1969713.0
1636977841.1875,67.27,3.790733,34.09,1969651.0
1636977841.203125,68.03,3.781767,34.07,1970221.0
1636977841.21875,68.57,3.784329,34.07,1970884.0
1636977841.234375,68.86,3.785609,34.07,1971272.0
1636977841.25,69.04,3.770239,34.07,1972182.0
1636977841.265625,69.35,3.748464,34.07,1972922.0
1636977841.28125,69.87,3.754869,34.07,1974158.0
1636977841.296875,70.39,3.751026,34.07,1975500.0
1636977841.3125,70.44,3.749745,34.07,1976594.0
1636977841.328125,69.44,3.751026,34.07,1978543.0
1636977841.34375,66.94,3.735656,34.07,1979769.0
1636977841.359375,62.83,3.736937,34.07,1981853.0
1636977841.375,57.48,3.738217,34.07,1983518.0
1636977841.390625,51.53,3.738217,34.03,1985281.0
1636977841.40625,45.66,3.733094,34.03,1987135.0
1636977841.421875,40.36,3.744622,34.03,1988833.0
1636977841.4375,35.64,3.729251,34.03,1988106.0
1636977841.453125,31.22,3.72669,34.03,1985131.0
1636977841.46875,26.64,3.730532,34.03,1982230.0
1636977841.484375,21.57,3.716443,34.03,1980205.0
1636977841.5,16.02,3.7126,34.03,1978309.0
1636977841.515625,10.28,3.722847,34.0,1977634.0
1636977841.53125,4.78,3.725409,34.0,1977377.0
1636977841.546875,-0.14,3.72797,34.0,1977525.0
1636977841.5625,-4.44,3.724128,34.0,1977144.0
1636977841.578125,-8.42,3.720285,33.99,1977382.0
1636977841.59375,-12.6,3.719004,33.99,1977756.0
1636977841.609375,-17.58,3.725409,33.99,1978082.0
1636977841.625,-23.85,3.715162,33.99,1979255.0
1636977841.640625,-31.74,3.707477,33.99,1980326.0
1636977841.65625,-41.24,3.704915,33.99,1981483.0
1636977841.671875,-51.96,3.69851,33.99,1982918.0
1636977841.6875,-62.98,3.711319,33.99,1984333.0
1636977841.703125,-72.74,3.708757,33.97,1985495.0
1636977841.71875,-79.31,3.710038,33.97,1987251.0
1636977841.734375,-80.82,3.701072,33.97,1988914.0
1636977841.75,-76.02,3.695949,33.97,1990257.0
1636977841.765625,-64.79,3.693387,33.95,1992177.0
1636977841.78125,-48.23,3.681859,33.95,1992171.0
1636977841.796875,-28.3,3.684421,33.95,1988533.0
1636977841.8125,-7.21,3.680578,33.95,1984248.0
1636977841.828125,13.24,3.685702,33.93,1980498.0
1636977841.84375,31.95,3.688263,33.93,1977053.0
1636977841.859375,48.44,3.680578,33.93,1973912.0
1636977841.875,62.56,3.674174,33.93,1972387.0
1636977841.890625,74.24,3.674174,33.89,1971549.0
1636977841.90625,83.28,3.663927,33.89,1970444.0
1636977841.921875,89.61,3.66905,33.89,1969464.0
