time_stamp,baseline_empatica_bvp,baseline_empatica_eda,baseline_empatica_temp,baseline_samsung_bvp,cognitive_empatica_bvp,cognitive_empatica_eda,cognitive_empatica_temp,cognitive_samsung_bvp,survey_empatica_bvp,survey_empatica_eda,survey_empatica_temp,survey_samsung_bvp
1778927451.28125,12.93,0.50329,34.15,1783547.0,,,,,,,,
1778927451.296875,19.23,0.567322,34.15,1784299.0,,,,,,,,
1778927451.3125,31.37,0.509694,34.15,1773944.0,,,,,,,,
1778927451.328125,46.97,0.505852,34.13,1778244.0,,,,,,,,
1778927451.34375,62.19,0.507132,34.13,1781905.0,,,,,,,,
1778927451.359375,73.55,0.508413,34.13,1784023.0,,,,,,,,
1778927451.375,79.42,0.504571,34.13,1784265.0,,,,,,,,
1778927451.390625,80.42,0.504571,34.13,1785528.0,,,,,,,,
1778927451.40625,78.83,0.505852,34.13,1783308.0,,,,,,,,
1778927451.421875,77.19,0.509694,34.13,1783781.0,,,,,,,,
1778927451.4375,77.19,0.509694,34.13,1786754.0,,,,,,,,
1778927451.453125,79.3,0.507132,34.11,1788169.0,,,,,,,,
1778927451.46875,82.95,0.507132,34.11,1787622.0,,,,,,,,
1778927451.484375,87.13,0.505852,34.11,1785098.0,,,,,,,,
1778927451.5,90.8,0.510974,34.11,1780483.0,,,,,,,,
1778927451.515625,93.11,0.510974,34.09,1780811.0,,,,,,,,
1778927451.53125,93.47,0.512255,34.09,1781960.0,,,,,,,,
1778927451.546875,91.61,0.509694,34.09,1781303.0,,,,,,,,
1778927451.5625,87.58,0.514816,34.09,1780113.0,,,,,,,,
1778927451.578125,81.73,0.512255,34.09,1782631.0,,,,,,,,
1778927451.59375,74.56,0.513535,34.09,1782824.0,,,,,,,,
1778927451.609375,66.52,0.553235,34.09,1783713.0,,,,,,,,
1778927451.625,57.95,0.631354,34.09,1784712.0,,,,,,,,
1778927451.640625,49.03,0.659528,34.09,1785977.0,,,,,,,,
