time_stamp,baseline_empatica_bvp,baseline_empatica_eda,baseline_empatica_temp,baseline_samsung_bvp,cognitive_empatica_bvp,cognitive_empatica_eda,cognitive_empatica_temp,cognitive_samsung_bvp,survey_empatica_bvp,survey_empatica_eda,survey_empatica_temp,survey_samsung_bvp
1675335217.34375,-70.4,1.438677,34.18,2143658.0,,,,,,,,
1675335217.359375,-73.91,1.53345,34.18,2143597.0,,,,,,,,
1675335217.375,-76.21,1.505274,34.18,2143609.0,,,,,,,,
1675335217.390625,-77.4,1.448923,34.21,2143709.0,,,,,,,,
1675335217.40625,-78.03,1.416905,34.21,2143548.0,,,,,,,,
1675335217.421875,-78.78,1.410501,34.21,2143547.0,,,,,,,,
1675335217.4375,-80.14,1.401536,34.21,2143519.0,,,,,,,,
1675335217.453125,-82.11,1.511678,34.18,2143535.0,,,,,,,,
1675335217.46875,-84.42,1.460449,34.18,2143546.0,,,,,,,,
1675335217.484375,-86.66,1.464291,34.18,2143625.0,,,,,,,,
1675335217.5,-88.53,1.464291,34.18,2143613.0,,,,,,,,
1675335217.515625,-89.9,1.46173,34.18,2143609.0,,,,,,,,
1675335217.53125,-90.71,1.459168,34.18,2143508.0,,,,,,,,
1675335217.546875,-90.82,1.465572,34.18,2143605.0,,,,,,,,
1675335217.5625,-89.98,1.468133,34.18,2143585.0,,,,,,,,
1675335217.578125,-87.9,1.483502,34.18,2143589.0,,,,,,,,
1675335217.59375,-84.41,1.512958,34.18,2143661.0,,,,,,,,
1675335217.609375,-79.6,1.537292,34.18,2143633.0,,,,,,,,
1675335217.625,-73.85,1.556503,34.18,2143629.0,,,,,,,,
1675335217.640625,-67.73,1.56931,34.16,2143519.0,,,,,,,,
1675335217.65625,-61.88,1.565468,34.16,2143616.0,,,,,,,,
1675335217.671875,-56.8,1.566748,34.16,2143547.0,,,,,,,,
1675335217.6875,-52.74,1.556503,34.16,2143554.0,,,,,,,,
1675335217.703125,-49.62,1.542415,34.13,2143590.0,,,,,,,,
1675335217.71875,-47.04,1.530888,34.13,2143601.0,,,,,,,,
1675335217.734375,-44.39,1.524485,34.13,2143611.0,,,,,,,,
1675335217.75,-40.99,1.51552,34.13,2143603.0,,,,,,,,
1675335217.765625,-36.4,1.509116,34.15,2143598.0,,,,,,,,
1675335217.78125,-30.53,1.505274,34.15,2143540.0,,,,,,,,
1675335217.796875,-23.73,1.496309,34.15,2143517.0,,,,,,,,
1675335217.8125,-16.67,1.491186,34.15,2143537.0,,,,,,,,
1675335217.828125,-10.12,1.487344,34.16,2143523.0,,,,,,,,
1675335217.84375,-4.68,1.482221,34.16,2143511.0,,,,,,,,
1675335217.859375,-0.73,1.48094,34.16,2143470.0,,,,,,,,
1675335217.875,1.64,1.478379,34.16,2143565.0,,,,,,,,
1675335217.890625,2.58,1.477098,34.13,2143573.0,,,,,,,,
1675335217.90625,2.31,1.473256,34.13,2143591.0,,,,,,,,
1675335217.921875,1.11,1.471975,34.13,2143555.0,,,,,,,,
1675335217.9375,-0.73,1.473256,34.13,2143503.0,,,,,,,,
1675335217.953125,-2.88,1.48094,34.13,2143516.0,,,,,,,,
1675335217.96875,-4.95,1.493748,34.13,2143638.0,,,,,,,,
1675335217.984375,-6.59,1.510397,34.13,2143607.0,,,,,,,,
1675335218.0,-7.55,1.523204,34.13,2143592.0,,,,,,,,
1675335218.015625,-7.84,1.530888,34.13,2143487.0,,,,,,,,
1675335218.03125,-7.76,1.530888,34.13,2143591.0,,,,,,,,
1675335218.046875,-7.82,1.525765,34.13,2143605.0,,,,,,,,
1675335218.0625,-8.54,1.519362,34.13,2143602.0,,,,,,,,
1675335218.078125,-10.18,1.514239,34.13,2143651.0,,,,,,,,
1675335218.09375,-12.56,1.507835,34.13,2143523.0,,,,,,,,
1675335218.109375,-15.22,1.500151,34.13,2143493.0,,,,,,,,
1675335218.125,-17.57,1.496309,34.13,2143488.0,,,,,,,,
1675335218.140625,-19.27,1.489905,34.13,2143589.0,,,,,,,,
1675335218.15625,-20.36,1.487344,34.13,2143577.0,,,,,,,,
1675335218.171875,-21.22,1.484783,34.13,2143503.0,,,,,,,,
1675335218.1875,-22.33,1.47966,34.13,2143579.0,,,,,,,,
1675335218.203125,-23.92,1.475818,34.11,2143576.0,,,,,,,,
1675335218.21875,-25.85,1.473256,34.11,2143536.0,,,,,,,,
1675335218.234375,-27.7,1.471975,34.11,2143478.0,,,,,,,,
1675335218.25,-29.01,1.469414,34.11,2143497.0,,,,,,,,
