timestamp,bvp,eda,temp,PPG GREEN
1551188781.421875,1.52,0.176749,33.61,2092042.0
1551188781.4375,-0.46,0.189557,33.61,2092455.0
1551188781.453125,-3.06,0.188276,33.61,2092731.0
1551188781.46875,-6.04,0.165222,33.65,2093036.0
1551188781.484375,-9.06,0.16266,33.65,2093410.0
1551188781.5,-11.8,0.16266,33.65,2093813.0
1551188781.515625,-14.18,0.16138,33.65,2094015.0
1551188781.53125,-16.34,0.158818,33.63,2093310.0
1551188781.546875,-18.62,0.158818,33.63,2092391.0
1551188781.5625,-21.34,0.169064,33.63,2091737.0
1551188781.578125,-24.62,0.163941,33.63,2091020.0
1551188781.59375,-28.17,0.16266,33.63,2089896.0
1551188781.609375,-31.36,0.16266,33.63,2088956.0
1551188781.625,-33.38,0.16266,33.63,2088440.0
1551188781.640625,-33.52,0.158818,33.63,2087879.0
1551188781.65625,-31.48,0.158818,33.63,2087333.0
1551188781.671875,-27.5,0.160099,33.63,2086837.0
1551188781.6875,-22.3,0.165222,33.63,2085993.0
1551188781.703125,-16.78,0.165222,33.63,2085602.0
1551188781.71875,-11.82,0.163941,33.59,2085297.0
1551188781.734375,-7.88,0.160099,33.59,2085111.0
1551188781.75,-5.11,0.163941,33.59,2085038.0
1551188781.765625,-3.44,0.16266,33.59,2085209.0
1551188781.78125,-2.71,0.165222,33.59,2085609.0
1551188781.796875,-2.85,0.166503,33.59,2085618.0
1551188781.8125,-3.81,0.167784,33.59,2085556.0
1551188781.828125,-5.48,0.167784,33.59,2086025.0
1551188781.84375,-7.69,0.166503,33.61,2085711.0
1551188781.859375,-10.17,0.170345,33.61,2083093.0
1551188781.875,-12.58,0.17803,33.61,2084316.0
1551188781.890625,-14.62,0.181872,33.61,2081328.0
1551188781.90625,-16.07,0.181872,33.61,2080521.0
1551188781.921875,-16.85,0.183153,33.61,2079992.0
1551188781.9375,-17.06,0.183153,33.61,2079813.0
1551188781.953125,-17.02,0.180592,33.61,2079094.0
1551188781.96875,-17.12,0.180592,33.61,2078515.0
1551188781.984375,-17.73,0.184434,33.61,2078093.0
1551188782.0,-18.92,0.184434,33.61,2077981.0
1551188782.015625,-20.48,0.184434,33.61,2077743.0
1551188782.03125,-21.88,0.185715,33.59,2077915.0
1551188782.046875,-22.6,0.184434,33.59,2078048.0
1551188782.0625,-22.28,0.186995,33.59,2078023.0
1551188782.078125,-20.98,0.189557,33.59,2078186.0
1551188782.09375,-19.07,0.190838,33.59,2078090.0
1551188782.109375,-17.1,0.189557,33.59,2078369.0
1551188782.125,-15.61,0.192119,33.59,2078790.0
1551188782.140625,-14.89,0.193399,33.59,2079938.0
1551188782.15625,-14.95,0.190838,33.57,2080376.0
1551188782.171875,-15.66,0.190838,33.57,2081135.0
1551188782.1875,-16.87,0.189557,33.57,2080171.0
1551188782.203125,-18.53,0.195961,33.57,2079091.0
1551188782.21875,-20.79,0.19468,33.57,2077792.0
1551188782.234375,-23.77,0.195961,33.57,2076392.0
1551188782.25,-27.37,0.19468,33.57,2075203.0
1551188782.265625,-31.08,0.193399,33.57,2074388.0
1551188782.28125,-33.99,0.19468,33.57,2073987.0
1551188782.296875,-35.14,0.195961,33.57,2073203.0
1551188782.3125,-33.87,0.198523,33.57,2072617.0
1551188782.328125,-30.17,0.198523,33.57,2072492.0
1551188782.34375,-24.57,0.197242,33.55,2072378.0
