timestamp,bvp,eda,temp,PPG GREEN
1623756909.0,64.0,4.0,4.0,2037746.0
1623756909.015625,-0.0,0.0,33.79,2038379.0
1623756909.03125,-0.0,0.236961,33.79,2039384.0
1623756909.046875,-0.0,0.285634,33.79,2040360.0
1623756909.0625,-0.0,0.289476,33.79,2041247.0
1623756909.078125,-0.0,0.289476,33.79,2041917.0
1623756909.09375,-0.0,0.289476,33.79,2043143.0
1623756909.109375,-0.0,0.288195,33.79,2043857.0
1623756909.125,-0.0,0.28051,33.79,2044680.0
1623756909.140625,-0.0,0.277948,33.77,2045291.0
1623756909.15625,-0.0,0.276668,33.77,2045341.0
1623756909.171875,0.0,0.274106,33.77,2045565.0
1623756909.1875,0.01,0.270263,33.77,2046008.0
1623756909.203125,0.01,0.268982,33.79,2047163.0
1623756909.21875,-0.0,0.266421,33.79,2049574.0
1623756909.234375,-0.03,0.262578,33.79,2054249.0
1623756909.25,-0.05,0.261297,33.79,2059257.0
1623756909.265625,-0.05,0.260016,33.77,2064559.0
1623756909.28125,0.0,0.258735,33.77,2069331.0
1623756909.296875,0.13,0.257455,33.77,2073889.0
1623756909.3125,0.36,0.256174,33.77,2078734.0
1623756909.328125,0.66,0.258735,33.77,2083214.0
1623756909.34375,1.01,0.258735,33.77,2086508.0
1623756909.359375,1.37,0.257455,33.77,2088780.0
1623756909.375,1.72,0.258735,33.77,2090470.0
1623756909.390625,2.06,0.257455,33.75,2092337.0
1623756909.40625,2.4,0.254893,33.75,2094248.0
1623756909.421875,2.79,0.256174,33.75,2096543.0
1623756909.4375,3.24,0.252331,33.75,2101704.0
1623756909.453125,3.8,0.252331,33.75,2099229.0
1623756909.46875,4.42,0.25105,33.75,2103134.0
1623756909.484375,5.06,0.252331,33.75,2104037.0
1623756909.5,5.66,0.249769,33.75,2104887.0
1623756909.515625,6.2,0.249769,33.75,2104961.0
1623756909.53125,6.68,0.25105,33.75,2105868.0
1623756909.546875,7.15,0.252331,33.75,2106026.0
1623756909.5625,7.68,0.252331,33.75,2106524.0
1623756909.578125,8.31,0.25105,33.75,2106086.0
1623756909.59375,9.14,0.25105,33.75,2107218.0
1623756909.609375,10.09,0.249769,33.75,2107161.0
1623756909.625,11.04,0.25105,33.75,2106606.0
1623756909.640625,11.88,0.249769,33.75,2106086.0
1623756909.65625,12.56,0.247208,33.75,2106011.0
1623756909.671875,13.14,0.248488,33.75,2106030.0
1623756909.6875,13.76,0.245927,33.75,2106996.0
1623756909.703125,14.65,0.245927,33.75,2107504.0
1623756909.71875,15.96,0.245927,33.75,2107625.0
1623756909.734375,17.91,0.247208,33.75,2108256.0
1623756909.75,20.32,0.249769,33.75,2108466.0
1623756909.765625,22.9,0.249769,33.75,2108345.0
1623756909.78125,25.38,0.248488,33.75,2109379.0
1623756909.796875,27.58,0.248488,33.75,2109902.0
1623756909.8125,29.57,0.248488,33.75,2110263.0
1623756909.828125,31.68,0.248488,33.73,2109915.0
1623756909.84375,34.32,0.245927,33.73,2109159.0
1623756909.859375,37.81,0.245927,33.73,2109429.0
1623756909.875,42.54,0.244646,33.73,2109028.0
1623756909.890625,48.15,0.243365,33.73,2108393.0
1623756909.90625,54.1,0.243365,33.73,2108365.0
1623756909.921875,59.83,0.243365,33.73,2108405.0
1623756909.9375,64.97,0.244646,33.73,2108973.0
1623756909.953125,69.58,0.245927,33.71,2109092.0
1623756909.96875,74.14,0.244646,33.71,2109523.0
1623756909.984375,79.34,0.245927,33.71,2109960.0
1623756910.0,85.71,0.244646,33.71,2109733.0
1623756910.015625,93.76,0.244646,33.73,2109911.0
1623756910.03125,103.0,0.244646,33.73,2109851.0
1623756910.046875,112.62,0.244646,33.73,2110247.0
1623756910.0625,121.73,0.243365,33.73,2110651.0
1623756910.078125,129.77,0.240803,33.73,2110490.0
1623756910.09375,136.75,0.239522,33.73,2110203.0
1623756910.109375,143.3,0.240803,33.73,2109383.0
1623756910.125,150.75,0.240803,33.73,2108031.0
1623756910.140625,157.77,0.239522,33.71,2107809.0
1623756910.15625,166.64,0.239522,33.71,2107645.0
1623756910.171875,177.95,0.243365,33.71,2107414.0
1623756910.1875,191.79,0.240803,33.71,2108755.0
1623756910.203125,206.97,0.242084,33.71,2107357.0
1623756910.21875,220.57,0.242084,33.71,2107014.0
1623756910.234375,228.25,0.240803,33.71,2107101.0
1623756910.25,225.36,0.240803,33.71,2107040.0
1623756910.265625,208.53,0.238242,33.71,2107104.0
1623756910.28125,176.87,0.238242,33.71,2107360.0
1623756910.296875,132.76,0.238242,33.71,2107416.0
1623756910.3125,80.05,0.236961,33.71,2107704.0
1623756910.328125,23.07,0.238242,33.68,2107572.0
1623756910.34375,-34.94,0.239522,33.68,2107412.0
1623756910.359375,-92.44,0.239522,33.68,2106711.0
1623756910.375,-149.16,0.240803,33.68,2105710.0
1623756910.390625,-205.23,0.239522,33.71,2105089.0
1623756910.40625,-260.37,0.239522,33.71,2104542.0
1623756910.421875,-313.74,0.238242,33.71,2103945.0
