bvp,time,sensor,phase,eda,temp,PPG GREEN
20.6,1549375731.453125,empatica_bvp,baseline,,,
21.99,1549375731.46875,empatica_bvp,baseline,,,
23.37,1549375731.484375,empatica_bvp,baseline,,,
24.37,1549375731.5,empatica_bvp,baseline,,,
24.54,1549375731.515625,empatica_bvp,baseline,,,
23.59,1549375731.53125,empatica_bvp,baseline,,,
21.53,1549375731.546875,empatica_bvp,baseline,,,
18.73,1549375731.5625,empatica_bvp,baseline,,,
15.76,1549375731.578125,empatica_bvp,baseline,,,
13.13,1549375731.59375,empatica_bvp,baseline,,,
11.06,1549375731.609375,empatica_bvp,baseline,,,
9.41,1549375731.625,empatica_bvp,baseline,,,
7.78,1549375731.640625,empatica_bvp,baseline,,,
5.76,1549375731.65625,empatica_bvp,baseline,,,
3.2,1549375731.671875,empatica_bvp,baseline,,,
0.26,1549375731.6875,empatica_bvp,baseline,,,
-2.71,1549375731.703125,empatica_bvp,baseline,,,
-5.38,1549375731.71875,empatica_bvp,baseline,,,
-7.67,1549375731.734375,empatica_bvp,baseline,,,
-9.76,1549375731.75,empatica_bvp,baseline,,,
-12.01,1549375731.765625,empatica_bvp,baseline,,,
-14.73,1549375731.78125,empatica_bvp,baseline,,,
-18.0,1549375731.796875,empatica_bvp,baseline,,,
-21.69,1549375731.8125,empatica_bvp,baseline,,,
-25.44,1549375731.828125,empatica_bvp,baseline,,,
-28.95,1549375731.84375,empatica_bvp,baseline,,,
-32.1,1549375731.859375,empatica_bvp,baseline,,,
-34.99,1549375731.875,empatica_bvp,baseline,,,
-37.98,1549375731.890625,empatica_bvp,baseline,,,
-41.56,1549375731.90625,empatica_bvp,baseline,,,
-46.19,1549375731.921875,empatica_bvp,baseline,,,
-52.14,1549375731.9375,empatica_bvp,baseline,,,
-59.29,1549375731.953125,empatica_bvp,baseline,,,
-67.0,1549375731.96875,empatica_bvp,baseline,,,
-74.08,1549375731.984375,empatica_bvp,baseline,,,
-78.92,1549375732.0,empatica_bvp,baseline,,,
-79.97,1549375732.015625,empatica_bvp,baseline,,,
-76.13,1549375732.03125,empatica_bvp,baseline,,,
-67.28,1549375732.046875,empatica_bvp,baseline,,,
-54.38,1549375732.0625,empatica_bvp,baseline,,,
-39.27,1549375732.078125,empatica_bvp,baseline,,,
-24.12,1549375732.09375,empatica_bvp,baseline,,,
-10.76,1549375732.109375,empatica_bvp,baseline,,,
-0.19,1549375732.125,empatica_bvp,baseline,,,
7.55,1549375732.140625,empatica_bvp,baseline,,,
13.12,1549375732.15625,empatica_bvp,baseline,,,
17.45,1549375732.171875,empatica_bvp,baseline,,,
21.28,1549375732.1875,empatica_bvp,baseline,,,
24.99,1549375732.203125,empatica_bvp,baseline,,,
28.6,1549375732.21875,empatica_bvp,baseline,,,
31.96,1549375732.234375,empatica_bvp,baseline,,,
34.94,1549375732.25,empatica_bvp,baseline,,,
37.48,1549375732.265625,empatica_bvp,baseline,,,
39.53,1549375732.28125,empatica_bvp,baseline,,,
41.04,1549375732.296875,empatica_bvp,baseline,,,
41.96,1549375732.3125,empatica_bvp,baseline,,,
42.27,1549375732.328125,empatica_bvp,baseline,,,
42.08,1549375732.34375,empatica_bvp,baseline,,,
41.65,1549375732.359375,empatica_bvp,baseline,,,
41.26,1549375732.375,empatica_bvp,baseline,,,
41.12,1549375732.390625,empatica_bvp,baseline,,,
41.21,1549375732.40625,empatica_bvp,baseline,,,
41.33,1549375732.421875,empatica_bvp,baseline,,,
41.13,1549375732.4375,empatica_bvp,baseline,,,
40.32,1549375732.453125,empatica_bvp,baseline,,,
38.79,1549375732.46875,empatica_bvp,baseline,,,
36.58,1549375732.484375,empatica_bvp,baseline,,,
33.9,1549375732.5,empatica_bvp,baseline,,,
30.98,1549375732.515625,empatica_bvp,baseline,,,
27.98,1549375732.53125,empatica_bvp,baseline,,,
25.01,1549375732.546875,empatica_bvp,baseline,,,
22.1,1549375732.5625,empatica_bvp,baseline,,,
19.19,1549375732.578125,empatica_bvp,baseline,,,
16.27,1549375732.59375,empatica_bvp,baseline,,,
13.3,1549375732.609375,empatica_bvp,baseline,,,
10.29,1549375732.625,empatica_bvp,baseline,,,
7.32,1549375732.640625,empatica_bvp,baseline,,,
4.49,1549375732.65625,empatica_bvp,baseline,,,
1.92,1549375732.671875,empatica_bvp,baseline,,,
-0.36,1549375732.6875,empatica_bvp,baseline,,,
-2.43,1549375732.703125,empatica_bvp,baseline,,,
-4.5,1549375732.71875,empatica_bvp,baseline,,,
-6.8,1549375732.734375,empatica_bvp,baseline,,,
-9.49,1549375732.75,empatica_bvp,baseline,,,
-12.58,1549375732.765625,empatica_bvp,baseline,,,
-15.88,1549375732.78125,empatica_bvp,baseline,,,
-19.16,1549375732.796875,empatica_bvp,baseline,,,
-22.23,1549375732.8125,empatica_bvp,baseline,,,
-25.1,1549375732.828125,empatica_bvp,baseline,,,
-27.98,1549375732.84375,empatica_bvp,baseline,,,
-31.29,1549375732.859375,empatica_bvp,baseline,,,
-35.37,1549375732.875,empatica_bvp,baseline,,,
-40.44,1549375732.890625,empatica_bvp,baseline,,,
-46.32,1549375732.90625,empatica_bvp,baseline,,,
-52.41,1549375732.921875,empatica_bvp,baseline,,,
-57.65,1549375732.9375,empatica_bvp,baseline,,,
-60.73,1549375732.953125,empatica_bvp,baseline,,,
-60.42,1549375732.96875,empatica_bvp,baseline,,,
-55.95,1549375732.984375,empatica_bvp,baseline,,,
-47.35,1549375733.0,empatica_bvp,baseline,,,
-35.59,1549375733.015625,empatica_bvp,baseline,,,
-22.29,1549375733.03125,empatica_bvp,baseline,,,
-9.28,1549375733.046875,empatica_bvp,baseline,,,
1.95,1549375733.0625,empatica_bvp,baseline,,,
10.59,1549375733.078125,empatica_bvp,baseline,,,
16.65,1549375733.09375,empatica_bvp,baseline,,,
20.68,1549375733.109375,empatica_bvp,baseline,,,
23.4,1549375733.125,empatica_bvp,baseline,,,
25.39,1549375733.140625,empatica_bvp,baseline,,,
26.92,1549375733.15625,empatica_bvp,baseline,,,
28.01,1549375733.171875,empatica_bvp,baseline,,,
28.65,1549375733.1875,empatica_bvp,baseline,,,
28.9,1549375733.203125,empatica_bvp,baseline,,,
28.98,1549375733.21875,empatica_bvp,baseline,,,
29.2,1549375733.234375,empatica_bvp,baseline,,,
29.85,1549375733.25,empatica_bvp,baseline,,,
31.03,1549375733.265625,empatica_bvp,baseline,,,
32.65,1549375733.28125,empatica_bvp,baseline,,,
34.49,1549375733.296875,empatica_bvp,baseline,,,
36.29,1549375733.3125,empatica_bvp,baseline,,,
37.79,1549375733.328125,empatica_bvp,baseline,,,
38.82,1549375733.34375,empatica_bvp,baseline,,,
39.29,1549375733.359375,empatica_bvp,baseline,,,
39.16,1549375733.375,empatica_bvp,baseline,,,
38.47,1549375733.390625,empatica_bvp,baseline,,,
37.32,1549375733.40625,empatica_bvp,baseline,,,
35.85,1549375733.421875,empatica_bvp,baseline,,,
34.23,1549375733.4375,empatica_bvp,baseline,,,
32.59,1549375733.453125,empatica_bvp,baseline,,,
30.98,1549375733.46875,empatica_bvp,baseline,,,
29.37,1549375733.484375,empatica_bvp,baseline,,,
27.69,1549375733.5,empatica_bvp,baseline,,,
25.92,1549375733.515625,empatica_bvp,baseline,,,
24.14,1549375733.53125,empatica_bvp,baseline,,,
22.56,1549375733.546875,empatica_bvp,baseline,,,
21.39,1549375733.5625,empatica_bvp,baseline,,,
20.79,1549375733.578125,empatica_bvp,baseline,,,
20.73,1549375733.59375,empatica_bvp,baseline,,,
21.01,1549375733.609375,empatica_bvp,baseline,,,
21.33,1549375733.625,empatica_bvp,baseline,,,
21.38,1549375733.640625,empatica_bvp,baseline,,,
21.0,1549375733.65625,empatica_bvp,baseline,,,
20.25,1549375733.671875,empatica_bvp,baseline,,,
19.36,1549375733.6875,empatica_bvp,baseline,,,
18.68,1549375733.703125,empatica_bvp,baseline,,,
18.6,1549375733.71875,empatica_bvp,baseline,,,
19.48,1549375733.734375,empatica_bvp,baseline,,,
21.49,1549375733.75,empatica_bvp,baseline,,,
24.48,1549375733.765625,empatica_bvp,baseline,,,
27.8,1549375733.78125,empatica_bvp,baseline,,,
30.29,1549375733.796875,empatica_bvp,baseline,,,
30.58,1549375733.8125,empatica_bvp,baseline,,,
27.5,1549375733.828125,empatica_bvp,baseline,,,
20.62,1549375733.84375,empatica_bvp,baseline,,,
10.46,1549375733.859375,empatica_bvp,baseline,,,
-1.64,1549375733.875,empatica_bvp,baseline,,,
-14.08,1549375733.890625,empatica_bvp,baseline,,,
-25.65,1549375733.90625,empatica_bvp,baseline,,,
-35.97,1549375733.921875,empatica_bvp,baseline,,,
-45.47,1549375733.9375,empatica_bvp,baseline,,,
-54.9,1549375733.953125,empatica_bvp,baseline,,,
-64.78,1549375733.96875,empatica_bvp,baseline,,,
-74.91,1549375733.984375,empatica_bvp,baseline,,,
-84.41,1549375734.0,empatica_bvp,baseline,,,
-91.99,1549375734.015625,empatica_bvp,baseline,,,
-96.57,1549375734.03125,empatica_bvp,baseline,,,
-97.55,1549375734.046875,empatica_bvp,baseline,,,
-94.98,1549375734.0625,empatica_bvp,baseline,,,
-89.36,1549375734.078125,empatica_bvp,baseline,,,
-81.3,1549375734.09375,empatica_bvp,baseline,,,
-71.25,1549375734.109375,empatica_bvp,baseline,,,
-59.54,1549375734.125,empatica_bvp,baseline,,,
-46.52,1549375734.140625,empatica_bvp,baseline,,,
-32.8,1549375734.15625,empatica_bvp,baseline,,,
-19.29,1549375734.171875,empatica_bvp,baseline,,,
-7.07,1549375734.1875,empatica_bvp,baseline,,,
2.96,1549375734.203125,empatica_bvp,baseline,,,
10.4,1549375734.21875,empatica_bvp,baseline,,,
15.41,1549375734.234375,empatica_bvp,baseline,,,
18.59,1549375734.25,empatica_bvp,baseline,,,
20.68,1549375734.265625,empatica_bvp,baseline,,,
22.23,1549375734.28125,empatica_bvp,baseline,,,
23.5,1549375734.296875,empatica_bvp,baseline,,,
24.51,1549375734.3125,empatica_bvp,baseline,,,
25.16,1549375734.328125,empatica_bvp,baseline,,,
25.41,1549375734.34375,empatica_bvp,baseline,,,
25.3,1549375734.359375,empatica_bvp,baseline,,,
24.95,1549375734.375,empatica_bvp,baseline,,,
24.48,1549375734.390625,empatica_bvp,baseline,,,
23.97,1549375734.40625,empatica_bvp,baseline,,,
23.49,1549375734.421875,empatica_bvp,baseline,,,
23.1,1549375734.4375,empatica_bvp,baseline,,,
22.84,1549375734.453125,empatica_bvp,baseline,,,
22.8,1549375734.46875,empatica_bvp,baseline,,,
23.08,1549375734.484375,empatica_bvp,baseline,,,
23.75,1549375734.5,empatica_bvp,baseline,,,
24.77,1549375734.515625,empatica_bvp,baseline,,,
25.92,1549375734.53125,empatica_bvp,baseline,,,
26.79,1549375734.546875,empatica_bvp,baseline,,,
26.89,1549375734.5625,empatica_bvp,baseline,,,
25.88,1549375734.578125,empatica_bvp,baseline,,,
23.67,1549375734.59375,empatica_bvp,baseline,,,
20.54,1549375734.609375,empatica_bvp,baseline,,,
16.9,1549375734.625,empatica_bvp,baseline,,,
13.12,1549375734.640625,empatica_bvp,baseline,,,
9.3,1549375734.65625,empatica_bvp,baseline,,,
5.16,1549375734.671875,empatica_bvp,baseline,,,
0.2,1549375734.6875,empatica_bvp,baseline,,,
-6.0,1549375734.703125,empatica_bvp,baseline,,,
-13.56,1549375734.71875,empatica_bvp,baseline,,,
-22.03,1549375734.734375,empatica_bvp,baseline,,,
-30.39,1549375734.75,empatica_bvp,baseline,,,
-37.17,1549375734.765625,empatica_bvp,baseline,,,
-40.86,1549375734.78125,empatica_bvp,baseline,,,
-40.35,1549375734.796875,empatica_bvp,baseline,,,
-35.36,1549375734.8125,empatica_bvp,baseline,,,
-26.6,1549375734.828125,empatica_bvp,baseline,,,
-15.58,1549375734.84375,empatica_bvp,baseline,,,
-4.04,1549375734.859375,empatica_bvp,baseline,,,
6.58,1549375734.875,empatica_bvp,baseline,,,
15.59,1549375734.890625,empatica_bvp,baseline,,,
23.03,1549375734.90625,empatica_bvp,baseline,,,
29.44,1549375734.921875,empatica_bvp,baseline,,,
35.41,1549375734.9375,empatica_bvp,baseline,,,
41.27,1549375734.953125,empatica_bvp,baseline,,,
47.09,1549375734.96875,empatica_bvp,baseline,,,
52.87,1549375734.984375,empatica_bvp,baseline,,,
58.74,1549375735.0,empatica_bvp,baseline,,,
64.92,1549375735.015625,empatica_bvp,baseline,,,
71.48,1549375735.03125,empatica_bvp,baseline,,,
78.0,1549375735.046875,empatica_bvp,baseline,,,
83.45,1549375735.0625,empatica_bvp,baseline,,,
86.39,1549375735.078125,empatica_bvp,baseline,,,
85.5,1549375735.09375,empatica_bvp,baseline,,,
80.05,1549375735.109375,empatica_bvp,baseline,,,
70.24,1549375735.125,empatica_bvp,baseline,,,
56.99,1549375735.140625,empatica_bvp,baseline,,,
41.63,1549375735.15625,empatica_bvp,baseline,,,
25.51,1549375735.171875,empatica_bvp,baseline,,,
10.07,1549375735.1875,empatica_bvp,baseline,,,
-2.9,1549375735.203125,empatica_bvp,baseline,,,
-11.32,1549375735.21875,empatica_bvp,baseline,,,
-13.51,1549375735.234375,empatica_bvp,baseline,,,
-9.39,1549375735.25,empatica_bvp,baseline,,,
-1.36,1549375735.265625,empatica_bvp,baseline,,,
5.75,1549375735.28125,empatica_bvp,baseline,,,
6.14,1549375735.296875,empatica_bvp,baseline,,,
-4.65,1549375735.3125,empatica_bvp,baseline,,,
-27.77,1549375735.328125,empatica_bvp,baseline,,,
-60.51,1549375735.34375,empatica_bvp,baseline,,,
-97.45,1549375735.359375,empatica_bvp,baseline,,,
-132.61,1549375735.375,empatica_bvp,baseline,,,
-161.6,1549375735.390625,empatica_bvp,baseline,,,
-182.59,1549375735.40625,empatica_bvp,baseline,,,
-196.08,1549375735.421875,empatica_bvp,baseline,,,
-203.69,1549375735.4375,empatica_bvp,baseline,,,
-207.04,1549375735.453125,empatica_bvp,baseline,,,
-207.05,1549375735.46875,empatica_bvp,baseline,,,
-203.86,1549375735.484375,empatica_bvp,baseline,,,
-197.1,1549375735.5,empatica_bvp,baseline,,,
-186.29,1549375735.515625,empatica_bvp,baseline,,,
-171.01,1549375735.53125,empatica_bvp,baseline,,,
-151.11,1549375735.546875,empatica_bvp,baseline,,,
-126.83,1549375735.5625,empatica_bvp,baseline,,,
-98.87,1549375735.578125,empatica_bvp,baseline,,,
-68.57,1549375735.59375,empatica_bvp,baseline,,,
-37.99,1549375735.609375,empatica_bvp,baseline,,,
-9.78,1549375735.625,empatica_bvp,baseline,,,
13.14,1549375735.640625,empatica_bvp,baseline,,,
28.36,1549375735.65625,empatica_bvp,baseline,,,
34.77,1549375735.671875,empatica_bvp,baseline,,,
33.12,1549375735.6875,empatica_bvp,baseline,,,
25.98,1549375735.703125,empatica_bvp,baseline,,,
17.01,1549375735.71875,empatica_bvp,baseline,,,
9.72,1549375735.734375,empatica_bvp,baseline,,,
6.41,1549375735.75,empatica_bvp,baseline,,,
