timestamp,bvp,eda,temp,PPG GREEN
1596631421.59375,169.08,0.524173,33.25,2324179.0
1596631421.609375,170.14,0.552354,33.25,2323064.0
1596631421.625,167.21,0.60103,33.23,2322263.0
1596631421.640625,160.57,0.581816,33.23,2321112.0
1596631421.65625,150.89,0.585659,33.23,2320615.0
1596631421.671875,139.53,0.579254,33.23,2320151.0
1596631421.6875,128.38,0.57413,33.37,2319033.0
1596631421.703125,119.36,0.576692,33.37,2318939.0
1596631421.71875,113.87,0.580535,33.37,2317890.0
1596631421.734375,112.49,0.579254,33.37,2318076.0
1596631421.75,115.01,0.584378,33.34,2317267.0
1596631421.765625,120.57,0.579254,33.34,2317082.0
1596631421.78125,127.83,0.575411,33.34,2317335.0
1596631421.796875,135.17,0.576692,33.34,2316225.0
1596631421.8125,141.07,0.569007,33.57,2316993.0
1596631421.828125,144.6,0.556197,33.57,2317147.0
1596631421.84375,145.79,0.557478,33.57,2316646.0
1596631421.859375,145.54,0.558759,33.57,2317497.0
1596631421.875,145.1,0.561321,33.5,2317561.0
1596631421.890625,145.28,0.562602,33.5,2318313.0
1596631421.90625,145.92,0.558759,33.5,2318962.0
1596631421.921875,146.05,0.558759,33.5,2317970.0
1596631421.9375,144.58,0.557478,33.43,2318704.0
1596631421.953125,141.1,0.554916,33.43,2318973.0
1596631421.96875,136.26,0.554916,33.43,2318903.0
1596631421.984375,131.41,0.554916,33.43,2318029.0
1596631422.0,127.81,0.557478,33.39,2316418.0
1596631422.015625,125.93,0.563883,33.39,2315738.0
1596631422.03125,125.22,0.563883,33.39,2317228.0
1596631422.046875,124.63,0.56004,33.39,2314270.0
1596631422.0625,123.21,0.565164,33.34,2314688.0
1596631422.078125,120.59,0.56004,33.34,2313269.0
1596631422.09375,116.82,0.558759,33.34,2312333.0
1596631422.109375,111.95,0.558759,33.34,2312961.0
1596631422.125,105.73,0.563883,33.33,2311029.0
1596631422.140625,97.78,0.565164,33.33,2311547.0
1596631422.15625,88.13,0.563883,33.33,2310800.0
1596631422.171875,77.68,0.562602,33.33,2311021.0
1596631422.1875,68.02,0.571568,33.33,2311019.0
1596631422.203125,60.62,0.562602,33.33,2310380.0
1596631422.21875,55.73,0.558759,33.33,2310792.0
1596631422.234375,51.94,0.56004,33.33,2310708.0
1596631422.25,46.7,0.558759,33.31,2310852.0
1596631422.265625,37.6,0.563883,33.31,2310851.0
1596631422.28125,23.82,0.565164,33.31,2311598.0
1596631422.296875,6.66,0.565164,33.31,2311977.0
1596631422.3125,-10.96,0.565164,33.31,2312380.0
1596631422.328125,-25.92,0.562602,33.31,2312553.0
1596631422.34375,-36.24,0.563883,33.31,2312460.0
1596631422.359375,-41.75,0.563883,33.31,2311823.0
1596631422.375,-43.75,0.566445,33.27,2311146.0
1596631422.390625,-44.08,0.571568,33.27,2310110.0
1596631422.40625,-44.27,0.575411,33.27,2308998.0
1596631422.421875,-45.02,0.57413,33.27,2307915.0
1596631422.4375,-46.3,0.570287,33.31,2306909.0
1596631422.453125,-47.73,0.569007,33.31,2306559.0
1596631422.46875,-48.86,0.570287,33.31,2305629.0
1596631422.484375,-49.35,0.575411,33.31,2304747.0
1596631422.5,-48.87,0.57413,33.31,2303978.0
1596631422.515625,-47.02,0.576692,33.31,2303593.0
1596631422.53125,-43.29,0.577973,33.31,2302898.0
1596631422.546875,-37.24,0.576692,33.31,2302441.0
1596631422.5625,-28.67,0.575411,33.31,2302205.0
1596631422.578125,-17.74,0.571568,33.31,2302171.0
1596631422.59375,-5.02,0.572849,33.31,2302119.0
1596631422.609375,8.57,0.570287,33.31,2302161.0
1596631422.625,21.87,0.575411,33.31,2302122.0
1596631422.640625,33.63,0.575411,33.31,2302357.0
1596631422.65625,42.74,0.576692,33.31,2302785.0
