bvp,time,sensor,phase,eda,temp,PPG GREEN
-87.48,1638177956.59375,empatica_bvp,baseline,,,
-93.01,1638177956.609375,empatica_bvp,baseline,,,
-99.55,1638177956.625,empatica_bvp,baseline,,,
-107.8,1638177956.640625,empatica_bvp,baseline,,,
-117.94,1638177956.65625,empatica_bvp,baseline,,,
-129.31,1638177956.671875,empatica_bvp,baseline,,,
-140.23,1638177956.6875,empatica_bvp,baseline,,,
-148.18,1638177956.703125,empatica_bvp,baseline,,,
-150.46,1638177956.71875,empatica_bvp,baseline,,,
-144.96,1638177956.734375,empatica_bvp,baseline,,,
-130.91,1638177956.75,empatica_bvp,baseline,,,
-109.26,1638177956.765625,empatica_bvp,baseline,,,
-82.47,1638177956.78125,empatica_bvp,baseline,,,
-53.76,1638177956.796875,empatica_bvp,baseline,,,
-26.23,1638177956.8125,empatica_bvp,baseline,,,
-2.16,1638177956.828125,empatica_bvp,baseline,,,
17.25,1638177956.84375,empatica_bvp,baseline,,,
31.8,1638177956.859375,empatica_bvp,baseline,,,
41.95,1638177956.875,empatica_bvp,baseline,,,
48.39,1638177956.890625,empatica_bvp,baseline,,,
51.9,1638177956.90625,empatica_bvp,baseline,,,
53.15,1638177956.921875,empatica_bvp,baseline,,,
52.74,1638177956.9375,empatica_bvp,baseline,,,
51.16,1638177956.953125,empatica_bvp,baseline,,,
48.85,1638177956.96875,empatica_bvp,baseline,,,
46.17,1638177956.984375,empatica_bvp,baseline,,,
43.43,1638177957.0,empatica_bvp,baseline,,,
40.85,1638177957.015625,empatica_bvp,baseline,,,
38.58,1638177957.03125,empatica_bvp,baseline,,,
36.61,1638177957.046875,empatica_bvp,baseline,,,
34.84,1638177957.0625,empatica_bvp,baseline,,,
33.09,1638177957.078125,empatica_bvp,baseline,,,
31.26,1638177957.09375,empatica_bvp,baseline,,,
29.31,1638177957.109375,empatica_bvp,baseline,,,
27.24,1638177957.125,empatica_bvp,baseline,,,
24.97,1638177957.140625,empatica_bvp,baseline,,,
22.24,1638177957.15625,empatica_bvp,baseline,,,
18.63,1638177957.171875,empatica_bvp,baseline,,,
13.68,1638177957.1875,empatica_bvp,baseline,,,
7.22,1638177957.203125,empatica_bvp,baseline,,,
-0.62,1638177957.21875,empatica_bvp,baseline,,,
-9.3,1638177957.234375,empatica_bvp,baseline,,,
-18.23,1638177957.25,empatica_bvp,baseline,,,
-26.89,1638177957.265625,empatica_bvp,baseline,,,
-35.1,1638177957.28125,empatica_bvp,baseline,,,
-43.04,1638177957.296875,empatica_bvp,baseline,,,
-51.05,1638177957.3125,empatica_bvp,baseline,,,
-59.43,1638177957.328125,empatica_bvp,baseline,,,
-68.22,1638177957.34375,empatica_bvp,baseline,,,
-77.14,1638177957.359375,empatica_bvp,baseline,,,
-85.61,1638177957.375,empatica_bvp,baseline,,,
-93.06,1638177957.390625,empatica_bvp,baseline,,,
-99.04,1638177957.40625,empatica_bvp,baseline,,,
-103.52,1638177957.421875,empatica_bvp,baseline,,,
-106.82,1638177957.4375,empatica_bvp,baseline,,,
-109.53,1638177957.453125,empatica_bvp,baseline,,,
-112.22,1638177957.46875,empatica_bvp,baseline,,,
-115.11,1638177957.484375,empatica_bvp,baseline,,,
-117.87,1638177957.5,empatica_bvp,baseline,,,
-119.5,1638177957.515625,empatica_bvp,baseline,,,
-118.56,1638177957.53125,empatica_bvp,baseline,,,
-113.45,1638177957.546875,empatica_bvp,baseline,,,
-102.93,1638177957.5625,empatica_bvp,baseline,,,
-86.63,1638177957.578125,empatica_bvp,baseline,,,
-65.25,1638177957.59375,empatica_bvp,baseline,,,
-40.46,1638177957.609375,empatica_bvp,baseline,,,
-14.4,1638177957.625,empatica_bvp,baseline,,,
11.15,1638177957.640625,empatica_bvp,baseline,,,
35.49,1638177957.65625,empatica_bvp,baseline,,,
59.47,1638177957.671875,empatica_bvp,baseline,,,
85.23,1638177957.6875,empatica_bvp,baseline,,,
115.4,1638177957.703125,empatica_bvp,baseline,,,
151.94,1638177957.71875,empatica_bvp,baseline,,,
195.15,1638177957.734375,empatica_bvp,baseline,,,
243.38,1638177957.75,empatica_bvp,baseline,,,
293.4,1638177957.765625,empatica_bvp,baseline,,,
341.42,1638177957.78125,empatica_bvp,baseline,,,
384.09,1638177957.796875,empatica_bvp,baseline,,,
418.89,1638177957.8125,empatica_bvp,baseline,,,
444.06,1638177957.828125,empatica_bvp,baseline,,,
458.15,1638177957.84375,empatica_bvp,baseline,,,
459.68,1638177957.859375,empatica_bvp,baseline,,,
447.3,1638177957.875,empatica_bvp,baseline,,,
420.36,1638177957.890625,empatica_bvp,baseline,,,
379.4,1638177957.90625,empatica_bvp,baseline,,,
326.28,1638177957.921875,empatica_bvp,baseline,,,
263.66,1638177957.9375,empatica_bvp,baseline,,,
194.55,1638177957.953125,empatica_bvp,baseline,,,
121.9,1638177957.96875,empatica_bvp,baseline,,,
48.9,1638177957.984375,empatica_bvp,baseline,,,
-20.7,1638177958.0,empatica_bvp,baseline,,,
-82.53,1638177958.015625,empatica_bvp,baseline,,,
-132.32,1638177958.03125,empatica_bvp,baseline,,,
-167.09,1638177958.046875,empatica_bvp,baseline,,,
-186.2,1638177958.0625,empatica_bvp,baseline,,,
-191.68,1638177958.078125,empatica_bvp,baseline,,,
-187.46,1638177958.09375,empatica_bvp,baseline,,,
-178.02,1638177958.109375,empatica_bvp,baseline,,,
-167.0,1638177958.125,empatica_bvp,baseline,,,
-156.62,1638177958.140625,empatica_bvp,baseline,,,
-147.74,1638177958.15625,empatica_bvp,baseline,,,
-140.41,1638177958.171875,empatica_bvp,baseline,,,
-134.46,1638177958.1875,empatica_bvp,baseline,,,
-129.71,1638177958.203125,empatica_bvp,baseline,,,
-125.95,1638177958.21875,empatica_bvp,baseline,,,
-122.82,1638177958.234375,empatica_bvp,baseline,,,
-119.82,1638177958.25,empatica_bvp,baseline,,,
-116.52,1638177958.265625,empatica_bvp,baseline,,,
-112.71,1638177958.28125,empatica_bvp,baseline,,,
-108.49,1638177958.296875,empatica_bvp,baseline,,,
-104.26,1638177958.3125,empatica_bvp,baseline,,,
-100.54,1638177958.328125,empatica_bvp,baseline,,,
-97.76,1638177958.34375,empatica_bvp,baseline,,,
-96.03,1638177958.359375,empatica_bvp,baseline,,,
