bvp,time,sensor,phase,eda,temp,PPG GREEN
29.0,1709208565.203125,empatica_bvp,baseline,,,
29.95,1709208565.21875,empatica_bvp,baseline,,,
30.03,1709208565.234375,empatica_bvp,baseline,,,
29.35,1709208565.25,empatica_bvp,baseline,,,
28.21,1709208565.265625,empatica_bvp,baseline,,,
26.92,1709208565.28125,empatica_bvp,baseline,,,
25.67,1709208565.296875,empatica_bvp,baseline,,,
24.5,1709208565.3125,empatica_bvp,baseline,,,
23.3,1709208565.328125,empatica_bvp,baseline,,,
21.91,1709208565.34375,empatica_bvp,baseline,,,
20.26,1709208565.359375,empatica_bvp,baseline,,,
18.34,1709208565.375,empatica_bvp,baseline,,,
16.28,1709208565.390625,empatica_bvp,baseline,,,
14.22,1709208565.40625,empatica_bvp,baseline,,,
12.28,1709208565.421875,empatica_bvp,baseline,,,
10.54,1709208565.4375,empatica_bvp,baseline,,,
8.96,1709208565.453125,empatica_bvp,baseline,,,
7.52,1709208565.46875,empatica_bvp,baseline,,,
6.16,1709208565.484375,empatica_bvp,baseline,,,
4.86,1709208565.5,empatica_bvp,baseline,,,
3.6,1709208565.515625,empatica_bvp,baseline,,,
2.34,1709208565.53125,empatica_bvp,baseline,,,
0.99,1709208565.546875,empatica_bvp,baseline,,,
-0.56,1709208565.5625,empatica_bvp,baseline,,,
-2.42,1709208565.578125,empatica_bvp,baseline,,,
-4.62,1709208565.59375,empatica_bvp,baseline,,,
-7.09,1709208565.609375,empatica_bvp,baseline,,,
-9.62,1709208565.625,empatica_bvp,baseline,,,
-12.0,1709208565.640625,empatica_bvp,baseline,,,
-14.08,1709208565.65625,empatica_bvp,baseline,,,
-15.86,1709208565.671875,empatica_bvp,baseline,,,
-17.51,1709208565.6875,empatica_bvp,baseline,,,
-19.33,1709208565.703125,empatica_bvp,baseline,,,
-21.57,1709208565.71875,empatica_bvp,baseline,,,
-24.39,1709208565.734375,empatica_bvp,baseline,,,
-27.73,1709208565.75,empatica_bvp,baseline,,,
-31.39,1709208565.765625,empatica_bvp,baseline,,,
-35.13,1709208565.78125,empatica_bvp,baseline,,,
-38.71,1709208565.796875,empatica_bvp,baseline,,,
-42.0,1709208565.8125,empatica_bvp,baseline,,,
-45.01,1709208565.828125,empatica_bvp,baseline,,,
-47.9,1709208565.84375,empatica_bvp,baseline,,,
-50.96,1709208565.859375,empatica_bvp,baseline,,,
-54.61,1709208565.875,empatica_bvp,baseline,,,
-59.25,1709208565.890625,empatica_bvp,baseline,,,
-65.17,1709208565.90625,empatica_bvp,baseline,,,
-72.28,1709208565.921875,empatica_bvp,baseline,,,
-80.04,1709208565.9375,empatica_bvp,baseline,,,
-87.48,1709208565.953125,empatica_bvp,baseline,,,
-93.37,1709208565.96875,empatica_bvp,baseline,,,
-96.58,1709208565.984375,empatica_bvp,baseline,,,
-96.46,1709208566.0,empatica_bvp,baseline,,,
-92.96,1709208566.015625,empatica_bvp,baseline,,,
-86.73,1709208566.03125,empatica_bvp,baseline,,,
-78.88,1709208566.046875,empatica_bvp,baseline,,,
-70.73,1709208566.0625,empatica_bvp,baseline,,,
-63.48,1709208566.078125,empatica_bvp,baseline,,,
-58.03,1709208566.09375,empatica_bvp,baseline,,,
-54.89,1709208566.109375,empatica_bvp,baseline,,,
-54.13,1709208566.125,empatica_bvp,baseline,,,
-55.41,1709208566.140625,empatica_bvp,baseline,,,
-58.04,1709208566.15625,empatica_bvp,baseline,,,
-61.03,1709208566.171875,empatica_bvp,baseline,,,
-63.17,1709208566.1875,empatica_bvp,baseline,,,
-63.27,1709208566.203125,empatica_bvp,baseline,,,
-60.33,1709208566.21875,empatica_bvp,baseline,,,
-53.73,1709208566.234375,empatica_bvp,baseline,,,
-43.32,1709208566.25,empatica_bvp,baseline,,,
-29.35,1709208566.265625,empatica_bvp,baseline,,,
-12.36,1709208566.28125,empatica_bvp,baseline,,,
7.04,1709208566.296875,empatica_bvp,baseline,,,
28.35,1709208566.3125,empatica_bvp,baseline,,,
51.21,1709208566.328125,empatica_bvp,baseline,,,
75.45,1709208566.34375,empatica_bvp,baseline,,,
100.97,1709208566.359375,empatica_bvp,baseline,,,
127.58,1709208566.375,empatica_bvp,baseline,,,
154.78,1709208566.390625,empatica_bvp,baseline,,,
181.73,1709208566.40625,empatica_bvp,baseline,,,
207.29,1709208566.421875,empatica_bvp,baseline,,,
230.28,1709208566.4375,empatica_bvp,baseline,,,
249.92,1709208566.453125,empatica_bvp,baseline,,,
266.07,1709208566.46875,empatica_bvp,baseline,,,
279.19,1709208566.484375,empatica_bvp,baseline,,,
289.91,1709208566.5,empatica_bvp,baseline,,,
298.31,1709208566.515625,empatica_bvp,baseline,,,
303.27,1709208566.53125,empatica_bvp,baseline,,,
302.46,1709208566.546875,empatica_bvp,baseline,,,
292.86,1709208566.5625,empatica_bvp,baseline,,,
271.72,1709208566.578125,empatica_bvp,baseline,,,
237.46,1709208566.59375,empatica_bvp,baseline,,,
190.37,1709208566.609375,empatica_bvp,baseline,,,
132.96,1709208566.625,empatica_bvp,baseline,,,
69.9,1709208566.640625,empatica_bvp,baseline,,,
7.41,1709208566.65625,empatica_bvp,baseline,,,
-47.81,1709208566.671875,empatica_bvp,baseline,,,
-90.16,1709208566.6875,empatica_bvp,baseline,,,
-116.68,1709208566.703125,empatica_bvp,baseline,,,
-127.89,1709208566.71875,empatica_bvp,baseline,,,
-127.37,1709208566.734375,empatica_bvp,baseline,,,
-120.34,1709208566.75,empatica_bvp,baseline,,,
-111.67,1709208566.765625,empatica_bvp,baseline,,,
-104.41,1709208566.78125,empatica_bvp,baseline,,,
-99.38,1709208566.796875,empatica_bvp,baseline,,,
-95.99,1709208566.8125,empatica_bvp,baseline,,,
-93.35,1709208566.828125,empatica_bvp,baseline,,,
-91.16,1709208566.84375,empatica_bvp,baseline,,,
-89.72,1709208566.859375,empatica_bvp,baseline,,,
-89.34,1709208566.875,empatica_bvp,baseline,,,
-89.82,1709208566.890625,empatica_bvp,baseline,,,
-90.32,1709208566.90625,empatica_bvp,baseline,,,
-89.84,1709208566.921875,empatica_bvp,baseline,,,
-87.77,1709208566.9375,empatica_bvp,baseline,,,
-84.29,1709208566.953125,empatica_bvp,baseline,,,
-80.23,1709208566.96875,empatica_bvp,baseline,,,
-76.71,1709208566.984375,empatica_bvp,baseline,,,
-74.59,1709208567.0,empatica_bvp,baseline,,,
-74.06,1709208567.015625,empatica_bvp,baseline,,,
-74.7,1709208567.03125,empatica_bvp,baseline,,,
-75.64,1709208567.046875,empatica_bvp,baseline,,,
-76.06,1709208567.0625,empatica_bvp,baseline,,,
-75.47,1709208567.078125,empatica_bvp,baseline,,,
-73.97,1709208567.09375,empatica_bvp,baseline,,,
-72.12,1709208567.109375,empatica_bvp,baseline,,,
-70.65,1709208567.125,empatica_bvp,baseline,,,
-70.16,1709208567.140625,empatica_bvp,baseline,,,
-70.88,1709208567.15625,empatica_bvp,baseline,,,
-72.75,1709208567.171875,empatica_bvp,baseline,,,
-75.46,1709208567.1875,empatica_bvp,baseline,,,
-78.72,1709208567.203125,empatica_bvp,baseline,,,
-82.15,1709208567.21875,empatica_bvp,baseline,,,
-85.25,1709208567.234375,empatica_bvp,baseline,,,
-87.31,1709208567.25,empatica_bvp,baseline,,,
-87.39,1709208567.265625,empatica_bvp,baseline,,,
-84.6,1709208567.28125,empatica_bvp,baseline,,,
-78.35,1709208567.296875,empatica_bvp,baseline,,,
-68.67,1709208567.3125,empatica_bvp,baseline,,,
-56.23,1709208567.328125,empatica_bvp,baseline,,,
-42.22,1709208567.34375,empatica_bvp,baseline,,,
-28.0,1709208567.359375,empatica_bvp,baseline,,,
-14.8,1709208567.375,empatica_bvp,baseline,,,
-3.52,1709208567.390625,empatica_bvp,baseline,,,
5.36,1709208567.40625,empatica_bvp,baseline,,,
11.72,1709208567.421875,empatica_bvp,baseline,,,
15.76,1709208567.4375,empatica_bvp,baseline,,,
17.89,1709208567.453125,empatica_bvp,baseline,,,
18.64,1709208567.46875,empatica_bvp,baseline,,,
18.58,1709208567.484375,empatica_bvp,baseline,,,
18.19,1709208567.5,empatica_bvp,baseline,,,
17.78,1709208567.515625,empatica_bvp,baseline,,,
17.51,1709208567.53125,empatica_bvp,baseline,,,
17.4,1709208567.546875,empatica_bvp,baseline,,,
17.37,1709208567.5625,empatica_bvp,baseline,,,
17.42,1709208567.578125,empatica_bvp,baseline,,,
17.58,1709208567.59375,empatica_bvp,baseline,,,
17.99,1709208567.609375,empatica_bvp,baseline,,,
18.87,1709208567.625,empatica_bvp,baseline,,,
20.38,1709208567.640625,empatica_bvp,baseline,,,
22.62,1709208567.65625,empatica_bvp,baseline,,,
25.5,1709208567.671875,empatica_bvp,baseline,,,
28.76,1709208567.6875,empatica_bvp,baseline,,,
32.06,1709208567.703125,empatica_bvp,baseline,,,
34.99,1709208567.71875,empatica_bvp,baseline,,,
37.21,1709208567.734375,empatica_bvp,baseline,,,
38.52,1709208567.75,empatica_bvp,baseline,,,
38.87,1709208567.765625,empatica_bvp,baseline,,,
38.34,1709208567.78125,empatica_bvp,baseline,,,
37.11,1709208567.796875,empatica_bvp,baseline,,,
35.35,1709208567.8125,empatica_bvp,baseline,,,
33.21,1709208567.828125,empatica_bvp,baseline,,,
30.82,1709208567.84375,empatica_bvp,baseline,,,
28.31,1709208567.859375,empatica_bvp,baseline,,,
25.81,1709208567.875,empatica_bvp,baseline,,,
23.44,1709208567.890625,empatica_bvp,baseline,,,
21.28,1709208567.90625,empatica_bvp,baseline,,,
19.36,1709208567.921875,empatica_bvp,baseline,,,
17.69,1709208567.9375,empatica_bvp,baseline,,,
16.26,1709208567.953125,empatica_bvp,baseline,,,
15.1,1709208567.96875,empatica_bvp,baseline,,,
14.19,1709208567.984375,empatica_bvp,baseline,,,
13.54,1709208568.0,empatica_bvp,baseline,,,
