bvp,time,sensor,phase,eda,temp,PPG GREEN
88.0,1780135453.625,empatica_bvp,baseline,,,
84.61,1780135453.640625,empatica_bvp,baseline,,,
80.6,1780135453.65625,empatica_bvp,baseline,,,
75.75,1780135453.671875,empatica_bvp,baseline,,,
69.85,1780135453.6875,empatica_bvp,baseline,,,
63.01,1780135453.703125,empatica_bvp,baseline,,,
55.76,1780135453.71875,empatica_bvp,baseline,,,
48.96,1780135453.734375,empatica_bvp,baseline,,,
43.47,1780135453.75,empatica_bvp,baseline,,,
39.77,1780135453.765625,empatica_bvp,baseline,,,
37.71,1780135453.78125,empatica_bvp,baseline,,,
36.56,1780135453.796875,empatica_bvp,baseline,,,
35.39,1780135453.8125,empatica_bvp,baseline,,,
33.41,1780135453.828125,empatica_bvp,baseline,,,
30.37,1780135453.84375,empatica_bvp,baseline,,,
26.52,1780135453.859375,empatica_bvp,baseline,,,
22.41,1780135453.875,empatica_bvp,baseline,,,
18.45,1780135453.890625,empatica_bvp,baseline,,,
14.72,1780135453.90625,empatica_bvp,baseline,,,
10.81,1780135453.921875,empatica_bvp,baseline,,,
6.08,1780135453.9375,empatica_bvp,baseline,,,
-0.02,1780135453.953125,empatica_bvp,baseline,,,
-7.61,1780135453.96875,empatica_bvp,baseline,,,
-16.28,1780135453.984375,empatica_bvp,baseline,,,
-25.22,1780135454.0,empatica_bvp,baseline,,,
-33.52,1780135454.015625,empatica_bvp,baseline,,,
-40.53,1780135454.03125,empatica_bvp,baseline,,,
-46.15,1780135454.046875,empatica_bvp,baseline,,,
-50.78,1780135454.0625,empatica_bvp,baseline,,,
-55.3,1780135454.078125,empatica_bvp,baseline,,,
-60.73,1780135454.09375,empatica_bvp,baseline,,,
-67.93,1780135454.109375,empatica_bvp,baseline,,,
-77.17,1780135454.125,empatica_bvp,baseline,,,
-87.83,1780135454.140625,empatica_bvp,baseline,,,
-98.1,1780135454.15625,empatica_bvp,baseline,,,
-105.22,1780135454.171875,empatica_bvp,baseline,,,
-106.1,1780135454.1875,empatica_bvp,baseline,,,
-98.31,1780135454.203125,empatica_bvp,baseline,,,
-81.11,1780135454.21875,empatica_bvp,baseline,,,
-55.92,1780135454.234375,empatica_bvp,baseline,,,
-26.01,1780135454.25,empatica_bvp,baseline,,,
4.5,1780135454.265625,empatica_bvp,baseline,,,
31.96,1780135454.28125,empatica_bvp,baseline,,,
54.21,1780135454.296875,empatica_bvp,baseline,,,
70.85,1780135454.3125,empatica_bvp,baseline,,,
82.71,1780135454.328125,empatica_bvp,baseline,,,
91.14,1780135454.34375,empatica_bvp,baseline,,,
97.23,1780135454.359375,empatica_bvp,baseline,,,
101.5,1780135454.375,empatica_bvp,baseline,,,
104.13,1780135454.390625,empatica_bvp,baseline,,,
105.14,1780135454.40625,empatica_bvp,baseline,,,
104.62,1780135454.421875,empatica_bvp,baseline,,,
102.77,1780135454.4375,empatica_bvp,baseline,,,
99.75,1780135454.453125,empatica_bvp,baseline,,,
95.55,1780135454.46875,empatica_bvp,baseline,,,
90.11,1780135454.484375,empatica_bvp,baseline,,,
83.34,1780135454.5,empatica_bvp,baseline,,,
75.3,1780135454.515625,empatica_bvp,baseline,,,
66.31,1780135454.53125,empatica_bvp,baseline,,,
56.84,1780135454.546875,empatica_bvp,baseline,,,
47.51,1780135454.5625,empatica_bvp,baseline,,,
38.89,1780135454.578125,empatica_bvp,baseline,,,
31.46,1780135454.59375,empatica_bvp,baseline,,,
25.45,1780135454.609375,empatica_bvp,baseline,,,
20.87,1780135454.625,empatica_bvp,baseline,,,
17.41,1780135454.640625,empatica_bvp,baseline,,,
14.59,1780135454.65625,empatica_bvp,baseline,,,
11.91,1780135454.671875,empatica_bvp,baseline,,,
9.02,1780135454.6875,empatica_bvp,baseline,,,
5.89,1780135454.703125,empatica_bvp,baseline,,,
2.9,1780135454.71875,empatica_bvp,baseline,,,
0.69,1780135454.734375,empatica_bvp,baseline,,,
-0.02,1780135454.75,empatica_bvp,baseline,,,
1.45,1780135454.765625,empatica_bvp,baseline,,,
5.48,1780135454.78125,empatica_bvp,baseline,,,
12.12,1780135454.796875,empatica_bvp,baseline,,,
21.0,1780135454.8125,empatica_bvp,baseline,,,
31.41,1780135454.828125,empatica_bvp,baseline,,,
42.27,1780135454.84375,empatica_bvp,baseline,,,
52.35,1780135454.859375,empatica_bvp,baseline,,,
60.45,1780135454.875,empatica_bvp,baseline,,,
65.66,1780135454.890625,empatica_bvp,baseline,,,
67.43,1780135454.90625,empatica_bvp,baseline,,,
65.59,1780135454.921875,empatica_bvp,baseline,,,
60.32,1780135454.9375,empatica_bvp,baseline,,,
52.06,1780135454.953125,empatica_bvp,baseline,,,
41.41,1780135454.96875,empatica_bvp,baseline,,,
28.93,1780135454.984375,empatica_bvp,baseline,,,
14.95,1780135455.0,empatica_bvp,baseline,,,
-0.58,1780135455.015625,empatica_bvp,baseline,,,
-18.08,1780135455.03125,empatica_bvp,baseline,,,
-37.87,1780135455.046875,empatica_bvp,baseline,,,
-59.77,1780135455.0625,empatica_bvp,baseline,,,
-82.6,1780135455.078125,empatica_bvp,baseline,,,
-104.06,1780135455.09375,empatica_bvp,baseline,,,
-121.28,1780135455.109375,empatica_bvp,baseline,,,
-131.47,1780135455.125,empatica_bvp,baseline,,,
-132.82,1780135455.140625,empatica_bvp,baseline,,,
-125.04,1780135455.15625,empatica_bvp,baseline,,,
-109.37,1780135455.171875,empatica_bvp,baseline,,,
-88.26,1780135455.1875,empatica_bvp,baseline,,,
-64.65,1780135455.203125,empatica_bvp,baseline,,,
-41.45,1780135455.21875,empatica_bvp,baseline,,,
-21.06,1780135455.234375,empatica_bvp,baseline,,,
-5.08,1780135455.25,empatica_bvp,baseline,,,
5.78,1780135455.265625,empatica_bvp,baseline,,,
11.68,1780135455.28125,empatica_bvp,baseline,,,
13.5,1780135455.296875,empatica_bvp,baseline,,,
12.45,1780135455.3125,empatica_bvp,baseline,,,
9.8,1780135455.328125,empatica_bvp,baseline,,,
6.74,1780135455.34375,empatica_bvp,baseline,,,
4.04,1780135455.359375,empatica_bvp,baseline,,,
2.13,1780135455.375,empatica_bvp,baseline,,,
1.15,1780135455.390625,empatica_bvp,baseline,,,
1.01,1780135455.40625,empatica_bvp,baseline,,,
1.45,1780135455.421875,empatica_bvp,baseline,,,
2.24,1780135455.4375,empatica_bvp,baseline,,,
3.18,1780135455.453125,empatica_bvp,baseline,,,
4.09,1780135455.46875,empatica_bvp,baseline,,,
4.93,1780135455.484375,empatica_bvp,baseline,,,
5.62,1780135455.5,empatica_bvp,baseline,,,
6.06,1780135455.515625,empatica_bvp,baseline,,,
6.11,1780135455.53125,empatica_bvp,baseline,,,
5.64,1780135455.546875,empatica_bvp,baseline,,,
4.49,1780135455.5625,empatica_bvp,baseline,,,
2.65,1780135455.578125,empatica_bvp,baseline,,,
0.21,1780135455.59375,empatica_bvp,baseline,,,
-2.67,1780135455.609375,empatica_bvp,baseline,,,
-5.87,1780135455.625,empatica_bvp,baseline,,,
-9.37,1780135455.640625,empatica_bvp,baseline,,,
-13.25,1780135455.65625,empatica_bvp,baseline,,,
-17.6,1780135455.671875,empatica_bvp,baseline,,,
-22.39,1780135455.6875,empatica_bvp,baseline,,,
-27.44,1780135455.703125,empatica_bvp,baseline,,,
-32.48,1780135455.71875,empatica_bvp,baseline,,,
-37.24,1780135455.734375,empatica_bvp,baseline,,,
-41.57,1780135455.75,empatica_bvp,baseline,,,
-45.6,1780135455.765625,empatica_bvp,baseline,,,
-49.6,1780135455.78125,empatica_bvp,baseline,,,
-53.93,1780135455.796875,empatica_bvp,baseline,,,
-58.84,1780135455.8125,empatica_bvp,baseline,,,
-64.43,1780135455.828125,empatica_bvp,baseline,,,
-70.53,1780135455.84375,empatica_bvp,baseline,,,
-76.51,1780135455.859375,empatica_bvp,baseline,,,
-81.32,1780135455.875,empatica_bvp,baseline,,,
-83.5,1780135455.890625,empatica_bvp,baseline,,,
-81.5,1780135455.90625,empatica_bvp,baseline,,,
-74.28,1780135455.921875,empatica_bvp,baseline,,,
-61.71,1780135455.9375,empatica_bvp,baseline,,,
-44.8,1780135455.953125,empatica_bvp,baseline,,,
-25.5,1780135455.96875,empatica_bvp,baseline,,,
-6.12,1780135455.984375,empatica_bvp,baseline,,,
11.39,1780135456.0,empatica_bvp,baseline,,,
25.86,1780135456.015625,empatica_bvp,baseline,,,
36.94,1780135456.03125,empatica_bvp,baseline,,,
44.96,1780135456.046875,empatica_bvp,baseline,,,
50.4,1780135456.0625,empatica_bvp,baseline,,,
53.61,1780135456.078125,empatica_bvp,baseline,,,
54.82,1780135456.09375,empatica_bvp,baseline,,,
54.16,1780135456.109375,empatica_bvp,baseline,,,
51.84,1780135456.125,empatica_bvp,baseline,,,
48.29,1780135456.140625,empatica_bvp,baseline,,,
44.02,1780135456.15625,empatica_bvp,baseline,,,
39.44,1780135456.171875,empatica_bvp,baseline,,,
34.79,1780135456.1875,empatica_bvp,baseline,,,
30.04,1780135456.203125,empatica_bvp,baseline,,,
25.03,1780135456.21875,empatica_bvp,baseline,,,
19.71,1780135456.234375,empatica_bvp,baseline,,,
14.35,1780135456.25,empatica_bvp,baseline,,,
9.54,1780135456.265625,empatica_bvp,baseline,,,
6.07,1780135456.28125,empatica_bvp,baseline,,,
4.54,1780135456.296875,empatica_bvp,baseline,,,
5.15,1780135456.3125,empatica_bvp,baseline,,,
7.54,1780135456.328125,empatica_bvp,baseline,,,
10.89,1780135456.34375,empatica_bvp,baseline,,,
14.26,1780135456.359375,empatica_bvp,baseline,,,
16.86,1780135456.375,empatica_bvp,baseline,,,
18.29,1780135456.390625,empatica_bvp,baseline,,,
18.57,1780135456.40625,empatica_bvp,baseline,,,
18.0,1780135456.421875,empatica_bvp,baseline,,,
16.79,1780135456.4375,empatica_bvp,baseline,,,
14.97,1780135456.453125,empatica_bvp,baseline,,,
12.26,1780135456.46875,empatica_bvp,baseline,,,
8.27,1780135456.484375,empatica_bvp,baseline,,,
2.74,1780135456.5,empatica_bvp,baseline,,,
-4.21,1780135456.515625,empatica_bvp,baseline,,,
-12.07,1780135456.53125,empatica_bvp,baseline,,,
-19.99,1780135456.546875,empatica_bvp,baseline,,,
-27.18,1780135456.5625,empatica_bvp,baseline,,,
-33.16,1780135456.578125,empatica_bvp,baseline,,,
-37.84,1780135456.59375,empatica_bvp,baseline,,,
-41.57,1780135456.609375,empatica_bvp,baseline,,,
-44.88,1780135456.625,empatica_bvp,baseline,,,
-48.34,1780135456.640625,empatica_bvp,baseline,,,
-52.4,1780135456.65625,empatica_bvp,baseline,,,
-57.31,1780135456.671875,empatica_bvp,baseline,,,
-63.18,1780135456.6875,empatica_bvp,baseline,,,
-69.73,1780135456.703125,empatica_bvp,baseline,,,
-76.22,1780135456.71875,empatica_bvp,baseline,,,
-81.34,1780135456.734375,empatica_bvp,baseline,,,
-83.46,1780135456.75,empatica_bvp,baseline,,,
-81.15,1780135456.765625,empatica_bvp,baseline,,,
-73.74,1780135456.78125,empatica_bvp,baseline,,,
-61.67,1780135456.796875,empatica_bvp,baseline,,,
-46.35,1780135456.8125,empatica_bvp,baseline,,,
