Timestamp,Participant_11,Participant_12,Participant_13,Participant_14,Participant_15,Participant_16,Participant_17,Participant_18,Participant_22,Participant_23,Participant_24,Average
0.0,2029828.0,2171585.0,1992854.0,1957053.0,1806547.0,2137290.0,1694148.0,1538643.0,1915306.0,1621796.0,1524066.0,1853556.0
0.015625,2029149.0,2172522.0,1991381.0,1957485.0,1802416.0,2137770.0,1694195.0,1538135.0,1914575.0,1621658.0,1523916.0,1853018.3636363635
0.03125,2028945.0,2173607.0,1990560.0,1957744.0,1797009.0,2138045.0,1694322.0,1538444.0,1913515.0,1621299.0,1523892.0,1852489.2727272727
0.046875,2028609.0,2175662.0,1990604.0,1958158.0,1792982.0,2138482.0,1694616.0,1537945.0,1912373.0,1621659.0,1523487.0,1852234.2727272727
0.0625,2028609.0,2177660.0,1991134.0,1958866.0,1790485.0,2138932.0,1694615.0,1537943.0,1911438.0,1623415.0,1523654.0,1852431.9090909092
0.078125,2028559.0,2180025.0,1991797.0,1959263.0,1789135.0,2139364.0,1694082.0,1537991.0,1910549.0,1625587.0,1524300.0,1852786.5454545454
0.09375,2027768.0,2182543.0,1992091.0,1960178.0,1788726.0,2139928.0,1693856.0,1538146.0,1908916.0,1628353.0,1524889.0,1853217.6363636365
0.109375,2027247.0,2185211.0,1993584.0,1961191.0,1788655.0,2140335.0,1693807.0,1538469.0,1910028.0,1631184.0,1525649.0,1854123.6363636365
0.125,2027050.0,2187746.0,1992611.0,1962348.0,1788349.0,2140997.0,1693831.0,1538817.0,1909328.0,1634225.0,1525853.0,1854650.4545454546
0.140625,2027120.0,2190529.0,1993965.0,1963574.0,1788229.0,2141499.0,1694135.0,1539221.0,1908531.0,1637683.0,1525915.0,1855491.0
0.15625,2027637.0,2193595.0,1996415.0,1965055.0,1788202.0,2141780.0,1694767.0,1539599.0,1908468.0,1640538.0,1526377.0,1856584.8181818181
0.171875,2028134.0,2196743.0,1999119.0,1966515.0,1788905.0,2142416.0,1695156.0,1540300.0,1908255.0,1642630.0,1526281.0,1857677.6363636365
0.1875,2028453.0,2200290.0,2001296.0,1969544.0,1790205.0,2142719.0,1695242.0,1540265.0,1908215.0,1638063.0,1525649.0,1858176.4545454546
0.203125,2029258.0,2203496.0,2003350.0,1968017.0,1791307.0,2143304.0,1692608.0,1539979.0,1907915.0,1631105.0,1524579.0,1857719.8181818181
0.21875,2029946.0,2207042.0,2005083.0,1972874.0,1792977.0,2143626.0,1692185.0,1539555.0,1907894.0,1625978.0,1523929.0,1858280.8181818181
0.234375,2030516.0,2210332.0,2004317.0,1974537.0,1794646.0,2144098.0,1695114.0,1539364.0,1907881.0,1622793.0,1523399.0,1858817.9090909092
0.25,2031241.0,2213469.0,2004117.0,1971112.0,1796718.0,2144662.0,1697056.0,1538697.0,1908167.0,1620304.0,1523077.0,1858965.4545454546
0.265625,2031961.0,2216712.0,2005538.0,1967590.0,1798813.0,2144823.0,1698828.0,1538457.0,1908215.0,1619315.0,1522623.0,1859352.2727272727
0.28125,2032730.0,2218257.0,2006370.0,1973441.0,1800543.0,2145420.0,1700495.0,1538082.0,1908373.0,1619385.0,1522225.0,1860483.7272727273
0.296875,2033642.0,2219055.0,2005251.0,1956032.0,1802617.0,2145663.0,1701970.0,1538163.0,1908702.0,1619222.0,1521779.0,1859281.4545454546
0.3125,2034788.0,2220183.0,2003805.0,1960812.0,1805030.0,2145448.0,1703322.0,1538014.0,1908971.0,1618622.0,1521404.0,1860036.2727272727
0.328125,2035677.0,2222029.0,2001273.0,1950963.0,1807259.0,2144854.0,1705025.0,1538314.0,1909499.0,1619514.0,1521088.0,1859590.4545454546
0.34375,2037047.0,2224051.0,1997599.0,1947350.0,1809540.0,2144085.0,1705911.0,1538369.0,1909258.0,1620846.0,1520925.0,1859543.7272727273
0.359375,2037887.0,2226265.0,1994195.0,1948485.0,1812064.0,2144374.0,1707357.0,1538934.0,1907939.0,1623452.0,1520711.0,1860151.1818181819
0.375,2039192.0,2229448.0,1991228.0,1953379.0,1814403.0,2144490.0,1708918.0,1539295.0,1906831.0,1626108.0,1520508.0,1861254.5454545454
0.390625,2040010.0,2232636.0,1988668.0,1949405.0,1814155.0,2144789.0,1709921.0,1539583.0,1906439.0,1628983.0,1520551.0,1861376.3636363635
0.40625,2035226.0,2235268.0,1986959.0,1945527.0,1809823.0,2145155.0,1711592.0,1540250.0,1905763.0,1631897.0,1520348.0,1860709.8181818181
0.421875,2038227.0,2237705.0,1985997.0,1942081.0,1805844.0,2145824.0,1713116.0,1540727.0,1905583.0,1635031.0,1520069.0,1860927.6363636365
0.4375,2032970.0,2239862.0,1985091.0,1943202.0,1803161.0,2145885.0,1714512.0,1540867.0,1905351.0,1638250.0,1519592.0,1860794.8181818181
0.453125,2031484.0,2242459.0,1984172.0,1941486.0,1801592.0,2146329.0,1715539.0,1541296.0,1905447.0,1638778.0,1517591.0,1860561.1818181819
0.46875,2030230.0,2244852.0,1983367.0,1941197.0,1800651.0,2146879.0,1716092.0,1541409.0,1905392.0,1633233.0,1515779.0,1859916.4545454546
0.484375,2028958.0,2247721.0,1983390.0,1942464.0,1800854.0,2147044.0,1716507.0,1541122.0,1905264.0,1626249.0,1514176.0,1859431.7272727273
0.5,2028302.0,2250595.0,1982991.0,1941824.0,1801612.0,2147703.0,1716418.0,1540541.0,1905589.0,1622207.0,1513152.0,1859175.8181818181
0.515625,2027744.0,2254085.0,1982438.0,1943192.0,1802000.0,2147987.0,1716072.0,1540223.0,1905938.0,1619308.0,1513122.0,1859282.6363636365
0.53125,2027114.0,2257303.0,1983059.0,1943930.0,1802311.0,2148417.0,1715482.0,1539821.0,1906409.0,1617214.0,1513929.0,1859544.4545454546
0.546875,2026555.0,2261069.0,1982705.0,1945858.0,1802123.0,2148683.0,1715096.0,1539636.0,1906741.0,1616658.0,1514958.0,1860007.4545454546
0.5625,2025639.0,2264376.0,1983202.0,1945081.0,1800666.0,2149369.0,1714752.0,1539719.0,1907258.0,1616946.0,1516247.0,1860295.9090909092
0.578125,2025717.0,2268055.0,1983585.0,1948235.0,1798261.0,2149806.0,1714796.0,1539895.0,1907991.0,1616600.0,1516896.0,1860894.2727272727
0.59375,2025760.0,2271092.0,1983787.0,1947079.0,1797225.0,2149883.0,1716144.0,1539938.0,1908602.0,1616676.0,1517623.0,1861255.3636363635
0.609375,2026650.0,2273814.0,1984059.0,1951047.0,1797932.0,2150464.0,1718485.0,1540117.0,1909355.0,1617723.0,1518330.0,1862543.2727272727
0.625,2026754.0,2274734.0,1984437.0,1949619.0,1801750.0,2150787.0,1720612.0,1540564.0,1907674.0,1619592.0,1518926.0,1863222.6363636365
0.640625,2027358.0,2276310.0,1985067.0,1953076.0,1804625.0,2151004.0,1722104.0,1540954.0,1909863.0,1622267.0,1519171.0,1864709.0
0.65625,2027545.0,2278380.0,1985534.0,1954964.0,1806683.0,2151427.0,1722833.0,1541386.0,1910631.0,1625284.0,1519396.0,1865823.9090909092
0.671875,2026283.0,2280504.0,1986296.0,1957056.0,1809443.0,2151804.0,1722903.0,1542000.0,1911205.0,1628209.0,1519247.0,1866813.6363636365
0.6875,2025758.0,2282967.0,1985736.0,1959507.0,1815743.0,2151730.0,1722564.0,1542440.0,1911909.0,1630986.0,1519819.0,1868105.3636363635
0.703125,2028279.0,2286051.0,1983658.0,1961873.0,1823765.0,2151326.0,1722117.0,1543649.0,1912557.0,1634036.0,1520104.0,1869765.0
0.71875,2029082.0,2288990.0,1981066.0,1964063.0,1832146.0,2150606.0,1721893.0,1544068.0,1912615.0,1637416.0,1520586.0,1871139.1818181819
0.734375,2029757.0,2291294.0,1978884.0,1966418.0,1838660.0,2149794.0,1721564.0,1543973.0,1911860.0,1639628.0,1519910.0,1871976.5454545454
0.75,2030932.0,2293716.0,1976919.0,1968577.0,1843424.0,2149738.0,1721531.0,1543440.0,1910958.0,1635301.0,1519163.0,1872154.4545454546
0.765625,2031401.0,2295215.0,1975416.0,1970490.0,1849015.0,2149586.0,1721137.0,1542405.0,1911042.0,1628708.0,1518452.0,1872078.8181818181
0.78125,2032111.0,2296399.0,1974741.0,1968199.0,1852215.0,2149814.0,1721005.0,1541314.0,1911020.0,1623705.0,1518096.0,1871692.6363636365
0.796875,2033335.0,2298055.0,1973682.0,1962890.0,1847343.0,2149945.0,1720842.0,1539855.0,1911042.0,1620832.0,1517975.0,1870526.9090909092
0.8125,2034109.0,2300809.0,1972821.0,1958737.0,1844362.0,2150560.0,1720505.0,1538653.0,1911187.0,1618883.0,1517885.0,1869864.6363636365
0.828125,2035412.0,2304265.0,1972073.0,1956667.0,1838527.0,2150572.0,1720455.0,1537330.0,1910887.0,1618408.0,1517953.0,1869322.6363636365
0.84375,2035956.0,2307589.0,1971571.0,1955744.0,1833869.0,2150783.0,1720297.0,1535490.0,1911045.0,1618793.0,1517683.0,1868983.6363636365
0.859375,2034391.0,2310444.0,1971184.0,1955331.0,1836847.0,2150947.0,1720213.0,1532054.0,1911359.0,1618231.0,1517491.0,1868953.8181818181
0.875,2031052.0,2313234.0,1971094.0,1955667.0,1839538.0,2151363.0,1720075.0,1529253.0,1911609.0,1618158.0,1517567.0,1868964.5454545454
0.890625,2028126.0,2315861.0,1971394.0,1955892.0,1839185.0,2151764.0,1719974.0,1527133.0,1912092.0,1618866.0,1517869.0,1868923.2727272727
0.90625,2026544.0,2318619.0,1971534.0,1955357.0,1836438.0,2152330.0,1720156.0,1525986.0,1912663.0,1620489.0,1518087.0,1868927.5454545454
0.921875,2025257.0,2321594.0,1972229.0,1954161.0,1833042.0,2152674.0,1719863.0,1525009.0,1913248.0,1622552.0,1518466.0,1868917.7272727273
0.9375,2023762.0,2324204.0,1972314.0,1953137.0,1833042.0,2153217.0,1719962.0,1524670.0,1914319.0,1625576.0,1519118.0,1869392.8181818181
0.953125,2022541.0,2324834.0,1972800.0,1953030.0,1833604.0,2153703.0,1719982.0,1523932.0,1913774.0,1628593.0,1519725.0,1869683.4545454546
0.96875,2023067.0,2325973.0,1973272.0,1953380.0,1832406.0,2154079.0,1720161.0,1522764.0,1911289.0,1631248.0,1520275.0,1869810.3636363635
0.984375,2021536.0,2326804.0,1973825.0,1954158.0,1831814.0,2154579.0,1720037.0,1522746.0,1914615.0,1634447.0,1520926.0,1870498.8181818181
1.0,2020795.0,2327230.0,1974651.0,1955411.0,1832309.0,2154785.0,1719925.0,1522915.0,1915172.0,1637739.0,1521341.0,1871115.7272727273
1.015625,2020051.0,2327791.0,1975693.0,1956648.0,1831399.0,2155389.0,1719701.0,1522686.0,1915341.0,1641089.0,1521527.0,1871574.0909090908
1.03125,2019458.0,2329110.0,1977004.0,1958249.0,1830264.0,2156737.0,1719758.0,1521902.0,1915412.0,1641702.0,1520513.0,1871828.0909090908
1.046875,2019938.0,2331159.0,1978981.0,1959782.0,1829628.0,2156032.0,1719876.0,1520995.0,1915997.0,1636570.0,1520141.0,1871736.2727272727
1.0625,2019624.0,2333200.0,1979564.0,1961267.0,1829592.0,2155648.0,1719583.0,1520808.0,1916650.0,1631156.0,1519800.0,1871535.6363636365
1.078125,2020336.0,2334787.0,1979814.0,1962881.0,1829372.0,2155474.0,1719900.0,1519897.0,1916156.0,1625334.0,1520037.0,1871271.6363636365
1.09375,2020319.0,2335957.0,1980932.0,1964311.0,1829382.0,2154207.0,1720119.0,1519176.0,1915323.0,1625834.0,1520414.0,1871452.1818181819
