time_stamp,baseline_empatica_bvp,baseline_empatica_eda,baseline_empatica_temp,baseline_samsung_bvp,cognitive_empatica_bvp,cognitive_empatica_eda,cognitive_empatica_temp,cognitive_samsung_bvp,survey_empatica_bvp,survey_empatica_eda,survey_empatica_temp,survey_samsung_bvp
1569567266.171875,81.65,0.306091,34.25,1621796.0,,,,,,,,
1569567266.1875,82.38,0.317617,34.25,1621658.0,,,,,,,,
1569567266.203125,81.43,0.308652,34.25,1621299.0,,,,,,,,
1569567266.21875,79.28,0.306091,34.25,1621659.0,,,,,,,,
1569567266.234375,76.76,0.306091,34.27,1623415.0,,,,,,,,
1569567266.25,74.47,0.302249,34.27,1625587.0,,,,,,,,
1569567266.265625,72.31,0.303529,34.27,1628353.0,,,,,,,,
1569567266.28125,69.31,0.30481,34.27,1631184.0,,,,,,,,
1569567266.296875,64.08,0.30481,34.23,1634225.0,,,,,,,,
1569567266.3125,55.42,0.303529,34.23,1637683.0,,,,,,,,
1569567266.328125,42.95,0.302249,34.23,1640538.0,,,,,,,,
1569567266.34375,27.39,0.302249,34.23,1642630.0,,,,,,,,
1569567266.359375,10.31,0.306091,34.23,1638063.0,,,,,,,,
1569567266.375,-6.46,0.306091,34.23,1631105.0,,,,,,,,
1569567266.390625,-21.54,0.306091,34.23,1625978.0,,,,,,,,
1569567266.40625,-34.46,0.302249,34.23,1622793.0,,,,,,,,
1569567266.421875,-45.72,0.303529,34.21,1620304.0,,,,,,,,
1569567266.4375,-56.51,0.303529,34.21,1619315.0,,,,,,,,
1569567266.453125,-68.16,0.303529,34.21,1619385.0,,,,,,,,
1569567266.46875,-81.73,0.303529,34.21,1619222.0,,,,,,,,
1569567266.484375,-97.58,0.302249,34.21,1618622.0,,,,,,,,
1569567266.5,-115.17,0.302249,34.21,1619514.0,,,,,,,,
1569567266.515625,-132.96,0.30481,34.21,1620846.0,,,,,,,,
1569567266.53125,-148.45,0.30481,34.21,1623452.0,,,,,,,,
1569567266.546875,-158.6,0.306091,34.21,1626108.0,,,,,,,,
1569567266.5625,-160.47,0.302249,34.21,1628983.0,,,,,,,,
1569567266.578125,-152.21,0.302249,34.21,1631897.0,,,,,,,,
1569567266.59375,-133.73,0.303529,34.21,1635031.0,,,,,,,,
1569567266.609375,-106.98,0.30481,34.23,1638250.0,,,,,,,,
1569567266.625,-75.37,0.30481,34.23,1638778.0,,,,,,,,
1569567266.640625,-42.76,0.30481,34.23,1633233.0,,,,,,,,
1569567266.65625,-12.28,0.30481,34.23,1626249.0,,,,,,,,
1569567266.671875,14.32,0.306091,34.21,1622207.0,,,,,,,,
1569567266.6875,36.72,0.306091,34.21,1619308.0,,,,,,,,
1569567266.703125,55.5,0.306091,34.21,1617214.0,,,,,,,,
1569567266.71875,71.41,0.303529,34.21,1616658.0,,,,,,,,
1569567266.734375,84.88,0.30481,34.21,1616946.0,,,,,,,,
1569567266.75,96.0,0.306091,34.21,1616600.0,,,,,,,,
1569567266.765625,104.77,0.307371,34.21,1616676.0,,,,,,,,
1569567266.78125,111.42,0.307371,34.21,1617723.0,,,,,,,,
1569567266.796875,116.52,0.30481,34.18,1619592.0,,,,,,,,
1569567266.8125,120.86,0.30481,34.18,1622267.0,,,,,,,,
1569567266.828125,125.21,0.30481,34.18,1625284.0,,,,,,,,
1569567266.84375,130.03,0.308652,34.18,1628209.0,,,,,,,,
1569567266.859375,135.38,0.307371,34.18,1630986.0,,,,,,,,
1569567266.875,140.98,0.306091,34.18,1634036.0,,,,,,,,
1569567266.890625,146.4,0.306091,34.18,1637416.0,,,,,,,,
1569567266.90625,151.29,0.303529,34.18,1639628.0,,,,,,,,
1569567266.921875,155.48,0.307371,34.15,1635301.0,,,,,,,,
1569567266.9375,158.93,0.308652,34.15,1628708.0,,,,,,,,
1569567266.953125,161.65,0.30481,34.15,1623705.0,,,,,,,,
1569567266.96875,163.54,0.303529,34.15,1620832.0,,,,,,,,
1569567266.984375,164.35,0.303529,34.16,1618883.0,,,,,,,,
1569567267.0,163.78,0.307371,34.16,1618408.0,,,,,,,,
1569567267.015625,161.63,0.307371,34.16,1618793.0,,,,,,,,
1569567267.03125,158.04,0.308652,34.16,1618231.0,,,,,,,,
1569567267.046875,153.48,0.30481,34.18,1618158.0,,,,,,,,
1569567267.0625,148.55,0.30481,34.18,1618866.0,,,,,,,,
1569567267.078125,143.73,0.308652,34.18,1620489.0,,,,,,,,
1569567267.09375,139.03,0.308652,34.18,1622552.0,,,,,,,,
1569567267.109375,133.89,0.307371,34.16,1625576.0,,,,,,,,
1569567267.125,127.41,0.306091,34.16,1628593.0,,,,,,,,
1569567267.140625,118.79,0.307371,34.16,1631248.0,,,,,,,,
